,0,1,2,3,4,5,6
0,3,3,0,1,1,3,-1
1,3,0,1,1,3,2,1
2,0,1,1,3,2,3,1
3,1,1,3,2,3,1,0
4,1,3,2,3,1,2,1
5,3,2,3,1,2,5,0
6,2,3,1,2,5,4,0
7,3,1,2,5,4,0,0
8,1,2,5,4,0,4,1
9,2,5,4,0,4,1,0
10,5,4,0,4,1,0,1
11,4,0,4,1,0,2,0
12,0,4,1,0,2,3,0
13,4,1,0,2,3,5,0
14,1,0,2,3,5,2,0
15,0,2,3,5,2,2,0
16,2,3,5,2,2,4,1
17,3,5,2,2,4,4,0
18,5,2,2,4,4,2,0
19,2,2,4,4,2,4,1
20,2,4,4,2,4,5,0
21,4,4,2,4,5,5,0
22,4,2,4,5,5,5,0
23,2,4,5,5,5,4,1
24,4,5,5,5,4,3,0
25,5,5,5,4,3,3,0
26,5,5,4,3,3,2,0
27,5,4,3,3,2,3,-1
28,4,3,3,2,3,1,0
29,3,3,2,3,1,0,0
