,0,1,2,3
0,1,5,3,0
1,5,3,1,1
2,3,1,1,1
3,1,1,4,0
4,1,4,1,1
5,4,1,1,1
6,1,1,4,-1
7,1,4,4,0
8,4,4,4,0
9,4,4,2,1
10,4,2,1,1
11,2,1,4,1
12,1,4,1,0
13,4,1,4,0
14,1,4,5,-1
15,4,5,1,1
16,5,1,1,0
17,1,1,5,0
18,1,5,1,0
19,5,1,0,0
20,1,0,3,0
21,0,3,2,0
22,3,2,0,0
23,2,0,2,1
24,0,2,3,0
25,2,3,1,1
26,3,1,2,1
27,1,2,1,1
28,2,1,1,1
29,1,1,2,0
30,1,2,3,-1
31,2,3,4,1
32,3,4,0,1
33,4,0,5,-1
34,0,5,4,0
35,5,4,5,0
36,4,5,5,0
37,5,5,2,0
38,5,2,4,0
39,2,4,0,0
40,4,0,3,0
41,0,3,0,1
42,3,0,0,1
43,0,0,5,0
44,0,5,3,-1
45,5,3,1,1
46,3,1,3,1
47,1,3,3,1
48,3,3,4,1
49,3,4,0,0
50,4,0,1,0
51,0,1,4,0
52,1,4,1,1
53,4,1,5,1
54,1,5,5,0
55,5,5,3,1
56,5,3,3,1
57,3,3,3,0
58,3,3,2,1
59,3,2,1,0
60,2,1,4,0
61,1,4,0,1
62,4,0,3,0
63,0,3,4,0
64,3,4,3,0
65,4,3,5,0
66,3,5,0,1
67,5,0,0,1
68,0,0,4,1
69,0,4,4,0
70,4,4,2,0
71,4,2,0,0
72,2,0,0,1
73,0,0,1,1
74,0,1,5,1
75,1,5,3,0
76,5,3,3,0
77,3,3,5,-1
78,3,5,5,0
79,5,5,1,0
80,5,1,2,0
81,1,2,0,1
82,2,0,0,1
83,0,0,4,1
84,0,4,1,1
85,4,1,4,-1
86,1,4,4,0
87,4,4,0,0
88,4,0,1,1
89,0,1,5,0
90,1,5,4,1
91,5,4,1,1
92,4,1,3,0
93,1,3,5,1
94,3,5,5,0
95,5,5,3,0
96,5,3,5,1
97,3,5,2,1
98,5,2,1,0
99,2,1,1,0
100,1,1,5,1
101,1,5,0,0
102,5,0,3,1
103,0,3,4,1
104,3,4,0,0
105,4,0,2,1
106,0,2,4,1
107,2,4,3,1
108,4,3,4,0
109,3,4,5,-1
110,4,5,0,1
111,5,0,2,0
112,0,2,5,1
113,2,5,0,1
114,5,0,3,0
115,0,3,5,0
116,3,5,4,1
117,5,4,1,0
118,4,1,1,1
119,1,1,4,1
120,1,4,3,0
121,4,3,5,0
122,3,5,5,0
123,5,5,5,0
124,5,5,1,0
125,5,1,1,-1
126,1,1,4,-1
127,1,4,0,1
128,4,0,0,1
129,0,0,1,0
130,0,1,0,1
131,1,0,0,1
132,0,0,4,1
133,0,4,4,0
134,4,4,1,0
135,4,1,5,1
136,1,5,4,0
137,5,4,1,1
138,4,1,2,1
139,1,2,0,0
140,2,0,3,0
141,0,3,1,0
142,3,1,1,1
143,1,1,3,0
144,1,3,1,1
145,3,1,1,0
146,1,1,5,0
147,1,5,4,-1
148,5,4,1,0
149,4,1,5,1
150,1,5,4,1
151,5,4,1,0
152,4,1,5,1
153,1,5,1,0
154,5,1,3,0
155,1,3,1,0
156,3,1,5,0
157,1,5,1,0
158,5,1,0,1
159,1,0,1,0
160,0,1,0,0
161,1,0,4,0
162,0,4,0,0
163,4,0,1,0
164,0,1,1,-1
165,1,1,4,1
166,1,4,2,0
167,4,2,1,0
168,2,1,0,0
169,1,0,3,1
170,0,3,4,1
171,3,4,3,0
172,4,3,0,1
173,3,0,0,1
174,0,0,4,1
175,0,4,1,1
176,4,1,5,1
177,1,5,2,1
178,5,2,2,0
179,2,2,4,0
180,2,4,1,0
181,4,1,5,0
182,1,5,3,0
183,5,3,4,0
184,3,4,4,0
185,4,4,0,0
186,4,0,1,0
187,0,1,5,0
188,1,5,1,1
189,5,1,4,0
190,1,4,0,0
191,4,0,1,0
192,0,1,0,1
193,1,0,1,0
194,0,1,2,1
195,1,2,2,0
196,2,2,0,0
197,2,0,3,0
198,0,3,2,1
199,3,2,4,0
200,2,4,3,-1
201,4,3,4,0
202,3,4,1,0
203,4,1,1,0
204,1,1,4,-1
205,1,4,1,0
206,4,1,5,0
207,1,5,1,0
208,5,1,3,-1
209,1,3,5,1
210,3,5,0,1
211,5,0,1,0
212,0,1,2,1
213,1,2,2,0
214,2,2,5,0
215,2,5,3,1
216,5,3,2,0
217,3,2,2,0
218,2,2,1,0
219,2,1,4,1
220,1,4,3,1
221,4,3,0,0
222,3,0,1,1
223,0,1,5,0
224,1,5,4,1
225,5,4,3,0
226,4,3,3,0
227,3,3,1,0
228,3,1,1,1
229,1,1,2,1
230,1,2,2,0
231,2,2,0,1
232,2,0,3,0
233,0,3,2,0
234,3,2,3,-1
235,2,3,2,1
236,3,2,5,0
237,2,5,0,0
238,5,0,3,0
239,0,3,1,1
240,3,1,1,-1
241,1,1,1,0
242,1,1,2,0
243,1,2,5,-1
244,2,5,2,0
245,5,2,0,1
246,2,0,3,0
247,0,3,4,1
248,3,4,4,0
249,4,4,3,0
250,4,3,2,1
251,3,2,5,1
252,2,5,3,1
253,5,3,1,0
254,3,1,1,0
255,1,1,2,0
256,1,2,5,-1
257,2,5,5,0
258,5,5,4,0
259,5,4,2,1
260,4,2,1,0
261,2,1,4,1
262,1,4,4,0
263,4,4,3,0
264,4,3,2,0
265,3,2,5,0
266,2,5,3,-1
267,5,3,0,0
268,3,0,1,0
269,0,1,0,0
270,1,0,0,1
271,0,0,3,1
272,0,3,4,-1
273,3,4,0,0
274,4,0,2,0
275,0,2,4,0
276,2,4,0,0
277,4,0,5,1
278,0,5,5,0
279,5,5,2,1
280,5,2,0,1
281,2,0,3,0
282,0,3,2,-1
283,3,2,5,1
284,2,5,4,-1
285,5,4,0,0
286,4,0,5,-1
287,0,5,5,0
288,5,5,0,1
289,5,0,0,1
290,0,0,3,0
291,0,3,1,1
292,3,1,5,1
293,1,5,2,0
294,5,2,2,0
295,2,2,0,0
296,2,0,3,0
297,0,3,1,1
298,3,1,2,0
299,1,2,1,0
