,0,1,2,3,4
0,2,1,1,-1,
1,1,1,4,1,
2,1,4,5,1,
3,4,5,4,0,
4,5,4,4,0,
5,4,4,1,1,
6,4,1,1,1,
7,1,1,3,1,
8,1,3,1,0,
9,3,1,2,1,
10,1,2,4,0,
11,2,4,0,0,
12,4,0,3,0,
13,0,3,2,0,
14,3,2,5,-1,
15,2,5,3,-1,
16,5,3,3,1,
17,3,3,4,-1,
18,3,4,4,0,
19,4,4,3,-1,
20,4,3,5,0,
21,3,5,4,-1,
22,5,4,4,0,
23,4,4,4,0,
24,4,4,2,0,
25,4,2,3,1,
26,2,3,0,0,
27,3,0,5,1,
28,0,5,2,0,
29,5,2,5,1,
30,2,5,0,0,
31,5,0,2,1,
32,0,2,0,0,
33,2,0,0,1,
34,0,0,3,0,
35,0,3,3,0,
36,3,3,5,1,
37,3,5,0,1,
38,5,0,0,1,
39,0,0,3,1,
40,0,3,0,1,
41,3,0,3,0,
42,0,3,2,1,
43,3,2,4,1,
44,2,4,0,0,
45,4,0,1,1,
46,0,1,1,1,
47,1,1,2,0,
48,1,2,3,0,
49,2,3,5,0,
50,3,5,2,0,
51,5,2,5,0,
52,2,5,1,-1,
53,5,1,1,-1,
54,1,1,4,1,
55,1,4,5,1,
56,4,5,1,1,
57,5,1,4,1,
58,1,4,3,0,
59,4,3,0,1,
60,3,0,5,1,
61,0,5,2,1,
62,5,2,5,1,
63,2,5,2,0,
64,5,2,1,0,
65,2,1,4,0,
66,1,4,3,0,
67,4,3,0,1,
68,3,0,5,0,
69,0,5,5,0,
70,5,5,3,1,
71,5,3,2,0,
72,3,2,1,1,
73,2,1,3,0,
74,1,3,3,1,
75,3,3,3,1,
76,3,3,5,0,
77,3,5,2,1,
78,5,2,1,0,
79,2,1,0,1,
80,1,0,4,0,
81,0,4,4,0,
82,4,4,0,0,
83,4,0,4,1,
84,0,4,3,0,
85,4,3,4,1,
86,3,4,3,1,
87,4,3,5,0,
88,3,5,0,1,
89,5,0,5,1,
90,0,5,2,0,
91,5,2,1,0,
92,2,1,1,1,
93,1,1,1,-1,
94,1,1,4,1,
95,1,4,5,0,
96,4,5,1,1,
