,hoge,Piyo,hoge,piyo,pyo
0,5,3,5,0,
1,3,5,5,0,
2,5,5,0,1,
3,5,0,2,0,
4,0,2,0,0,
5,2,0,4,0,
6,0,4,3,1,
7,4,3,5,-1,
8,3,5,5,0,
9,5,5,2,0,
10,5,2,0,0,
11,2,0,0,1,
12,0,0,3,0,
13,0,3,2,1,
14,3,2,1,0,
15,2,1,1,1,
16,1,1,3,0,
17,1,3,3,1,
18,3,3,2,0,
19,3,2,5,1,
20,2,5,2,1,
21,5,2,5,0,
22,2,5,5,0,
23,5,5,0,1,
24,5,0,2,1,
25,0,2,3,0,
26,2,3,3,0,
27,3,3,1,1,
28,3,1,5,1,
29,1,5,1,0,
30,5,1,4,0,
31,1,4,5,0,
32,4,5,2,0,
33,5,2,4,1,
34,2,4,1,0,
35,4,1,0,0,
36,1,0,1,-1,
37,0,1,1,1,
38,1,1,5,1,
39,1,5,3,1,
40,5,3,3,1,
41,3,3,0,1,
42,3,0,3,0,
43,0,3,4,0,
44,3,4,0,1,
45,4,0,3,1,
46,0,3,5,1,
47,3,5,4,1,
48,5,4,4,0,
49,4,4,1,1,
50,4,1,0,1,
51,1,0,4,0,
52,0,4,2,1,
53,4,2,5,1,
54,2,5,4,-1,
55,5,4,1,1,
56,4,1,5,1,
57,1,5,1,1,
58,5,1,2,1,
59,1,2,0,0,
60,2,0,0,1,
61,0,0,3,1,
62,0,3,5,-1,
63,3,5,2,0,
64,5,2,5,1,
65,2,5,2,1,
66,5,2,1,1,
67,2,1,4,1,
68,1,4,5,0,
69,4,5,3,0,
70,5,3,2,0,
71,3,2,5,0,
72,2,5,2,1,
73,5,2,3,0,
74,2,3,4,0,
75,3,4,4,0,
76,4,4,4,0,
77,4,4,5,0,
78,4,5,5,0,
79,5,5,2,0,
80,5,2,1,0,
81,2,1,1,1,
82,1,1,1,0,
83,1,1,3,0,
84,1,3,1,0,
85,3,1,0,1,
86,1,0,0,1,
87,0,0,5,0,
88,0,5,5,0,
89,5,5,0,1,
90,5,0,0,1,
91,0,0,0,0,
92,0,0,3,0,
93,0,3,2,0,
94,3,2,4,1,
95,2,4,3,0,
96,4,3,1,0,
97,3,1,5,0,
98,1,5,0,1,
99,5,0,5,0,
100,0,5,1,1,
101,5,1,5,0,
102,1,5,1,1,
103,5,1,4,0,
104,1,4,4,0,
105,4,4,5,0,
106,4,5,0,0,
107,5,0,4,0,
108,0,4,1,0,
109,4,1,5,0,
110,1,5,1,1,
111,5,1,5,0,
112,1,5,0,1,
113,5,0,3,1,
114,0,3,2,0,
115,3,2,4,0,
116,2,4,1,0,
117,4,1,3,0,
118,1,3,1,1,
119,3,1,5,0,
120,1,5,5,0,
121,5,5,0,1,
122,5,0,2,0,
123,0,2,5,1,
124,2,5,0,1,
125,5,0,5,0,
126,0,5,0,0,
127,5,0,0,1,
128,0,0,5,1,
129,0,5,5,0,
130,5,5,5,0,
131,5,5,0,1,
132,5,0,2,0,
133,0,2,0,0,
134,2,0,3,1,
135,0,3,2,1,
136,3,2,0,0,
137,2,0,1,1,
138,0,1,1,1,
139,1,1,0,1,
140,1,0,2,0,
141,0,2,4,1,
142,2,4,5,0,
143,4,5,5,0,
144,5,5,0,1,
145,5,0,0,1,
146,0,0,5,1,
147,0,5,1,0,
148,5,1,4,0,
149,1,4,3,0,
150,4,3,1,1,
151,3,1,3,0,
152,1,3,2,0,
153,3,2,5,0,
154,2,5,5,0,
155,5,5,0,0,
156,5,0,3,1,
157,0,3,5,1,
158,3,5,1,1,
159,5,1,4,1,
160,1,4,1,1,
161,4,1,0,0,
162,1,0,0,1,
163,0,0,5,0,
164,0,5,1,0,
165,5,1,4,1,
166,1,4,5,0,
167,4,5,3,0,
168,5,3,3,1,
169,3,3,4,1,
170,3,4,4,0,
171,4,4,1,0,
172,4,1,0,1,
173,1,0,0,1,
174,0,0,5,0,
175,0,5,4,1,
176,5,4,5,0,
177,4,5,5,0,
178,5,5,0,0,
179,5,0,3,1,
180,0,3,1,0,
181,3,1,5,0,
182,1,5,1,0,
183,5,1,4,1,
184,1,4,5,0,
185,4,5,0,1,
186,5,0,2,-1,
187,0,2,5,0,
188,2,5,3,1,
189,5,3,3,1,
190,3,3,2,0,
191,3,2,4,0,
192,2,4,1,0,
193,4,1,5,0,
194,1,5,3,1,
195,5,3,3,0,
196,3,3,5,1,
197,3,5,1,0,
198,5,1,4,0,
199,1,4,4,0,
200,4,4,4,0,
201,4,4,1,0,
202,4,1,1,-1,
203,1,1,4,0,
204,1,4,1,0,
205,4,1,4,0,
206,1,4,1,0,
207,4,1,4,1,
208,1,4,1,0,
209,4,1,0,0,
210,1,0,5,0,
211,0,5,2,1,
212,5,2,4,1,
213,2,4,2,0,
214,4,2,5,0,
215,2,5,0,0,
216,5,0,3,0,
217,0,3,2,0,
218,3,2,4,0,
219,2,4,3,1,
220,4,3,1,1,
221,3,1,5,1,
222,1,5,0,0,
223,5,0,0,1,
224,0,0,5,1,
225,0,5,2,0,
226,5,2,0,-1,
227,2,0,2,1,
228,0,2,0,1,
229,2,0,4,0,
230,0,4,2,0,
231,4,2,4,0,
232,2,4,2,1,
233,4,2,5,0,
234,2,5,1,1,
235,5,1,2,1,
236,1,2,0,0,
237,2,0,0,1,
238,0,0,2,1,
239,0,2,1,1,
240,2,1,3,0,
241,1,3,0,0,
242,3,0,2,1,
243,0,2,4,0,
244,2,4,3,1,
245,4,3,3,1,
246,3,3,5,0,
247,3,5,4,1,
248,5,4,0,1,
249,4,0,3,-1,
250,0,3,0,1,
251,3,0,3,1,
252,0,3,2,0,
253,3,2,5,0,
254,2,5,1,0,
255,5,1,4,0,
256,1,4,4,0,
257,4,4,3,-1,
258,4,3,3,1,
259,3,3,4,1,
260,3,4,0,1,
261,4,0,1,0,
262,0,1,1,1,
263,1,1,5,0,
264,1,5,0,0,
265,5,0,0,1,
266,0,0,2,0,
267,0,2,1,0,
268,2,1,3,0,
269,1,3,0,1,
270,3,0,2,-1,
271,0,2,2,0,
272,2,2,1,0,
273,2,1,1,0,
274,1,1,0,0,
275,1,0,5,1,
276,0,5,4,1,
277,5,4,4,0,
278,4,4,1,0,
279,4,1,0,1,
280,1,0,4,0,
281,0,4,2,0,
282,4,2,5,-1,
283,2,5,1,0,
284,5,1,4,-1,
285,1,4,0,0,
286,4,0,2,1,
287,0,2,0,0,
288,2,0,2,1,
289,0,2,0,-1,
290,2,0,2,0,
291,0,2,5,1,
292,2,5,3,1,
293,5,3,2,0,
294,3,2,4,0,
295,2,4,3,0,
296,4,3,3,1,
297,3,3,4,0,
298,3,4,0,1,
299,4,0,2,1,
300,model: REINFORCE,episode: 300,T: 2,Num of Category: 6,M(Batch): 3
