,s-2,s-1,a,r,none
0,6,9,0,1,
1,9,0,-1,0,
2,0,-1,0,0,
3,-1,0,3,1,
4,0,3,0,1,
5,3,0,1,1,
6,0,1,0,0,
7,1,0,2,0,
8,0,2,0,1,
9,2,0,2,0,
10,0,2,0,1,
11,2,0,0,1,
12,0,0,2,0,
13,0,2,1,0,
14,2,1,1,0,
15,1,1,0,0,
16,1,0,2,0,
17,0,2,0,0,
18,2,0,2,1,
19,0,2,1,1,
20,2,1,19,0,
21,1,19,0,0,
22,19,0,19,1,
23,0,19,0,1,
24,19,0,19,0,
25,0,19,0,0,
26,19,0,19,1,
27,0,19,1,0,
28,19,1,19,1,
29,1,19,0,0,
30,19,0,19,0,
31,0,19,-1,0,
32,19,-1,19,0,
33,-1,19,0,1,
34,19,0,0,1,
35,0,0,19,0,
36,0,19,0,0,
37,19,0,-1,0,
38,0,-1,19,0,
39,-1,19,1,0,
40,19,1,19,0,
41,1,19,0,0,
42,19,0,19,1,
43,0,19,19,-1,
44,19,19,19,-1,
45,19,19,0,0,
46,19,0,19,1,
47,0,19,19,1,
48,19,19,19,0,
49,19,19,0,0,
50,19,0,19,0,
51,0,19,19,1,
52,19,19,19,0,
53,19,19,19,-1,
54,19,19,19,0,
55,19,19,19,-1,
56,19,19,19,0,
57,19,19,0,0,
58,19,0,19,1,
59,0,19,19,1,
60,19,19,0,0,
61,19,0,0,1,
62,0,0,0,1,
63,0,0,0,1,
64,0,0,1,0,
65,0,1,0,0,
66,1,0,-1,1,
67,0,-1,0,1,
68,-1,0,0,1,
69,0,0,0,1,
70,0,0,0,1,
71,0,0,0,1,
72,0,0,0,1,
73,0,0,0,1,
74,0,0,0,1,
75,0,0,0,1,
76,0,0,0,1,
77,0,0,0,1,
78,0,0,-1,1,
79,0,-1,0,1,
80,-1,0,0,1,
81,0,0,0,1,
82,0,0,0,1,
83,0,0,0,1,
84,0,0,0,1,
85,0,0,0,1,
86,0,0,0,1,
87,0,0,0,1,
88,0,0,-1,0,
89,0,-1,0,0,
90,-1,0,0,1,
91,0,0,0,1,
92,0,0,0,1,
93,0,0,1,1,
94,0,1,1,0,
95,1,1,0,1,
96,1,0,0,1,
97,0,0,0,1,
98,0,0,0,1,
99,0,0,0,1,
100,0,0,0,1,
101,0,0,0,1,
102,0,0,0,1,
103,0,0,0,1,
104,0,0,0,1,
105,0,0,0,-1,
106,0,0,0,1,
107,0,0,0,-1,
108,0,0,0,0,
109,0,0,0,-1,
110,0,0,0,0,
111,0,0,0,-1,
112,0,0,0,-1,
113,0,0,0,0,
114,0,0,0,-1,
115,0,0,0,-1,
116,0,0,1,0,
117,0,1,0,0,
118,1,0,0,1,
119,0,0,1,1,
120,0,1,0,0,
121,1,0,0,1,
122,0,0,0,1,
123,0,0,0,1,
124,0,0,0,1,
125,0,0,0,0,
126,0,0,0,1,
127,0,0,0,1,
128,0,0,0,-1,
129,0,0,0,1,
130,0,0,0,1,
131,0,0,0,0,
132,0,0,0,1,
133,0,0,0,-1,
134,0,0,0,0,
135,0,0,0,0,
136,0,0,0,0,
137,0,0,0,-1,
138,0,0,0,0,
139,0,0,0,1,
140,0,0,0,-1,
141,0,0,0,0,
142,0,0,0,-1,
143,0,0,0,0,
144,0,0,0,0,
145,0,0,0,0,
146,0,0,0,0,
147,0,0,0,0,
148,0,0,0,-1,
149,0,0,-1,-1,
150,0,-1,0,1,
151,-1,0,0,1,
152,0,0,0,1,
153,0,0,0,1,
154,0,0,0,1,
155,0,0,0,1,
156,0,0,0,1,
157,0,0,0,1,
158,0,0,1,0,
159,0,1,-1,1,
160,1,-1,0,0,
161,-1,0,0,0,
162,0,0,0,1,
163,0,0,0,1,
164,0,0,-1,0,
165,0,-1,1,1,
166,-1,1,0,0,
167,1,0,0,1,
168,0,0,0,1,
169,0,0,0,1,
170,0,0,0,1,
171,0,0,0,1,
172,0,0,0,1,
173,0,0,0,1,
174,0,0,1,1,
175,0,1,0,0,
176,1,0,0,1,
177,0,0,0,1,
178,0,0,0,1,
179,0,0,0,1,
180,0,0,0,1,
181,0,0,0,1,
182,0,0,0,1,
183,0,0,0,-1,
184,0,0,0,1,
185,0,0,0,0,
186,0,0,0,1,
187,0,0,0,0,
188,0,0,0,-1,
189,0,0,0,1,
190,0,0,1,0,
191,0,1,0,1,
192,1,0,0,1,
193,0,0,0,1,
194,0,0,0,1,
195,0,0,0,1,
196,0,0,0,1,
197,0,0,1,0,
198,0,1,0,0,
199,1,0,0,1,
200,0,0,0,1,
201,0,0,1,0,
202,0,1,0,1,
203,1,0,0,0,
204,0,0,0,1,
205,0,0,0,1,
206,0,0,-1,0,
207,0,-1,1,1,
208,-1,1,0,0,
209,1,0,0,1,
210,0,0,0,1,
211,0,0,0,1,
212,0,0,0,1,
213,0,0,-1,1,
214,0,-1,1,0,
215,-1,1,0,1,
216,1,0,0,1,
217,0,0,0,0,
218,0,0,0,1,
219,0,0,0,1,
220,0,0,0,1,
221,0,0,0,1,
222,0,0,0,1,
223,0,0,0,0,
224,0,0,1,0,
225,0,1,0,0,
226,1,0,0,1,
227,0,0,0,1,
228,0,0,1,1,
229,0,1,0,0,
230,1,0,1,0,
231,0,1,0,0,
232,1,0,0,1,
233,0,0,0,1,
234,0,0,0,1,
235,0,0,0,1,
236,0,0,0,1,
237,0,0,0,1,
238,0,0,0,1,
239,0,0,0,1,
240,0,0,0,0,
241,0,0,0,1,
242,0,0,0,-1,
243,0,0,0,-1,
244,0,0,0,1,
245,0,0,1,1,
246,0,1,-1,1,
247,1,-1,0,0,
248,-1,0,0,1,
249,0,0,0,1,
250,0,0,0,1,
251,0,0,0,1,
252,0,0,0,1,
253,0,0,0,1,
254,0,0,0,1,
255,0,0,0,1,
256,0,0,0,1,
257,0,0,0,0,
258,0,0,0,0,
259,0,0,0,1,
260,0,0,1,1,
261,0,1,0,0,
262,1,0,0,1,
263,0,0,0,1,
264,0,0,0,1,
265,0,0,0,1,
266,0,0,0,1,
267,0,0,0,1,
268,0,0,0,1,
269,0,0,0,-1,
270,0,0,-1,1,
271,0,-1,0,1,
272,-1,0,0,1,
273,0,0,0,1,
274,0,0,0,1,
275,0,0,0,1,
276,0,0,0,1,
277,0,0,0,1,
278,0,0,0,1,
279,0,0,0,1,
280,0,0,0,1,
281,0,0,0,1,
282,0,0,0,0,
283,0,0,0,1,
284,0,0,0,1,
285,0,0,0,-1,
286,0,0,-1,1,
287,0,-1,0,0,
288,-1,0,0,1,
289,0,0,-1,0,
290,0,-1,0,0,
291,-1,0,0,1,
292,0,0,0,1,
293,0,0,0,1,
294,0,0,0,1,
295,0,0,0,1,
296,0,0,0,1,
297,0,0,0,1,
298,0,0,0,1,
299,0,0,-1,0,
300,model: DQN,episode: 300,T: 2,Num of Category: 20,M(Batch): 20
