,s-2,s-1,a,r,none
0,15,4,9,0,
1,4,9,8,0,
2,9,8,4,1,
3,8,4,14,1,
4,4,14,13,0,
5,14,13,14,1,
6,13,14,17,1,
7,14,17,3,0,
8,17,3,1,1,
9,3,1,13,0,
10,1,13,17,1,
11,13,17,2,0,
12,17,2,19,0,
13,2,19,13,1,
14,19,13,2,1,
15,13,2,6,1,
16,2,6,19,0,
17,6,19,16,0,
18,19,16,8,1,
19,16,8,17,-1,
20,8,17,4,0,
21,17,4,19,1,
22,4,19,13,0,
23,19,13,12,0,
24,13,12,12,1,
25,12,12,8,1,
26,12,8,11,0,
27,8,11,0,0,
28,11,0,2,0,
29,0,2,8,0,
30,2,8,8,1,
31,8,8,16,1,
32,8,16,5,-1,
33,16,5,9,1,
34,5,9,7,0,
35,9,7,1,0,
36,7,1,8,0,
37,1,8,12,0,
38,8,12,1,0,
39,12,1,6,1,
40,1,6,16,1,
41,6,16,3,0,
42,16,3,17,0,
43,3,17,13,0,
44,17,13,16,0,
45,13,16,12,1,
46,16,12,15,1,
47,12,15,16,0,
48,15,16,11,0,
49,16,11,0,0,
50,11,0,2,0,
51,0,2,13,1,
52,2,13,14,0,
53,13,14,16,1,
54,14,16,18,1,
55,16,18,18,1,
56,18,18,13,0,
57,18,13,17,1,
58,13,17,5,0,
59,17,5,12,1,
60,5,12,0,1,
61,12,0,9,0,
62,0,9,13,0,
63,9,13,12,0,
64,13,12,5,1,
65,12,5,17,-1,
66,5,17,6,1,
67,17,6,2,0,
68,6,2,18,1,
69,2,18,1,1,
70,18,1,9,-1,
71,1,9,15,-1,
72,9,15,2,1,
73,15,2,11,1,
74,2,11,14,1,
75,11,14,14,0,
76,14,14,17,0,
77,14,17,1,0,
78,17,1,19,0,
79,1,19,2,1,
80,19,2,6,1,
81,2,6,18,0,
82,6,18,6,1,
83,18,6,13,0,
84,6,13,3,1,
85,13,3,12,0,
86,3,12,6,1,
87,12,6,15,0,
88,6,15,8,1,
89,15,8,2,1,
90,8,2,7,0,
91,2,7,8,0,
92,7,8,17,0,
93,8,17,3,1,
94,17,3,15,0,
95,3,15,9,1,
96,15,9,0,1,
97,9,0,4,1,
98,0,4,14,1,
99,4,14,16,0,
100,14,16,5,0,
101,16,5,1,0,
102,5,1,9,1,
103,1,9,3,0,
104,9,3,1,1,
105,3,1,1,-1,
106,1,1,7,0,
107,1,7,1,0,
108,7,1,19,1,
109,1,19,2,0,
110,19,2,5,0,
111,2,5,5,0,
112,5,5,13,0,
113,5,13,19,1,
114,13,19,13,1,
115,19,13,2,0,
116,13,2,6,1,
117,2,6,2,1,
118,6,2,15,0,
119,2,15,12,0,
120,15,12,10,0,
121,12,10,9,0,
122,10,9,3,1,
123,9,3,16,0,
124,3,16,15,-1,
125,16,15,2,0,
126,15,2,18,0,
127,2,18,18,1,
128,18,18,5,0,
129,18,5,0,1,
130,5,0,12,0,
131,0,12,18,0,
132,12,18,16,0,
133,18,16,13,1,
134,16,13,19,0,
135,13,19,10,1,
136,19,10,2,1,
137,10,2,0,0,
138,2,0,9,1,
139,0,9,7,1,
140,9,7,4,0,
141,7,4,12,0,
142,4,12,2,0,
143,12,2,8,0,
144,2,8,12,1,
145,8,12,17,0,
146,12,17,8,0,
147,17,8,4,0,
148,8,4,19,-1,
149,4,19,17,1,
150,19,17,2,0,
151,17,2,2,0,
152,2,2,15,0,
153,2,15,2,0,
154,15,2,6,0,
155,2,6,15,1,
156,6,15,5,1,
157,15,5,17,1,
158,5,17,8,0,
159,17,8,16,1,
160,8,16,18,1,
161,16,18,10,0,
162,18,10,5,0,
163,10,5,9,1,
164,5,9,10,1,
165,9,10,8,0,
166,10,8,14,0,
167,8,14,9,0,
168,14,9,14,0,
169,9,14,13,0,
170,14,13,15,0,
171,13,15,17,1,
172,15,17,10,1,
173,17,10,14,1,
174,10,14,13,0,
175,14,13,7,0,
176,13,7,5,0,
177,7,5,17,0,
178,5,17,14,1,
179,17,14,18,1,
180,14,18,4,0,
181,18,4,8,0,
182,4,8,15,-1,
183,8,15,6,0,
184,15,6,15,0,
185,6,15,3,0,
