,s-2,s-1,a,r,none
0,3,4,5,0,
1,4,5,0,1,
2,5,0,2,1,
3,0,2,4,1,
4,2,4,3,0,
5,4,3,4,1,
6,3,4,0,0,
7,4,0,5,1,
8,0,5,5,0,
9,5,5,0,1,
10,5,0,0,1,
11,0,0,2,0,
12,0,2,5,0,
13,2,5,2,1,
14,5,2,1,1,
15,2,1,3,1,
16,1,3,5,0,
17,3,5,3,1,
18,5,3,0,0,
19,3,0,2,0,
20,0,2,4,-1,
21,2,4,0,1,
22,4,0,5,0,
23,0,5,3,1,
24,5,3,5,1,
25,3,5,3,0,
26,5,3,4,1,
27,3,4,4,0,
28,4,4,2,0,
29,4,2,0,1,
30,2,0,5,0,
31,0,5,5,0,
32,5,5,1,0,
33,5,1,3,0,
34,1,3,3,0,
35,3,3,4,0,
36,3,4,1,0,
37,4,1,2,1,
38,1,2,1,0,
39,2,1,3,1,
40,1,3,2,1,
41,3,2,2,0,
42,2,2,5,1,
43,2,5,2,1,
44,5,2,3,1,
45,2,3,2,0,
46,3,2,0,1,
47,2,0,2,1,
48,0,2,0,1,
49,2,0,2,0,
50,0,2,0,0,
51,2,0,0,1,
52,0,0,2,0,
53,0,2,3,0,
54,2,3,2,0,
55,3,2,2,1,
56,2,2,2,0,
57,2,2,5,1,
58,2,5,3,-1,
59,5,3,1,1,
60,3,1,2,1,
61,1,2,2,0,
62,2,2,5,0,
63,2,5,0,0,
64,5,0,4,1,
65,0,4,4,0,
66,4,4,0,0,
67,4,0,0,1,
68,0,0,2,1,
69,0,2,5,0,
70,2,5,2,1,
71,5,2,2,0,
72,2,2,0,0,
73,2,0,0,1,
74,0,0,3,1,
75,0,3,5,0,
76,3,5,3,0,
77,5,3,5,1,
78,3,5,3,-1,
79,5,3,5,-1,
80,3,5,3,1,
81,5,3,5,1,
82,3,5,3,1,
83,5,3,1,0,
84,3,1,2,1,
85,1,2,1,1,
86,2,1,1,0,
87,1,1,3,-1,
88,1,3,2,0,
89,3,2,0,1,
90,2,0,3,0,
91,0,3,1,1,
92,3,1,2,1,
93,1,2,5,0,
94,2,5,4,1,
95,5,4,2,0,
96,4,2,3,1,
97,2,3,1,1,
98,3,1,1,0,
99,1,1,4,0,
100,1,4,1,1,
101,4,1,0,1,
102,1,0,0,1,
103,0,0,2,1,
104,0,2,1,1,
105,2,1,5,0,
106,1,5,4,1,
107,5,4,2,1,
108,4,2,4,1,
109,2,4,0,0,
110,4,0,2,0,
111,0,2,0,0,
112,2,0,0,1,
113,0,0,2,0,
114,0,2,2,0,
115,2,2,2,0,
116,2,2,5,0,
117,2,5,0,0,
118,5,0,0,1,
119,0,0,2,-1,
120,0,2,4,1,
121,2,4,0,0,
122,4,0,5,0,
123,0,5,3,0,
124,5,3,0,0,
125,3,0,1,1,
126,0,1,2,0,
127,1,2,2,0,
128,2,2,5,0,
129,2,5,4,0,
130,5,4,4,0,
131,4,4,2,0,
132,4,2,5,1,
133,2,5,2,0,
134,5,2,2,0,
135,2,2,2,0,
136,2,2,5,0,
137,2,5,4,1,
138,5,4,1,-1,
139,4,1,5,-1,
140,1,5,2,0,
141,5,2,3,1,
142,2,3,3,1,
143,3,3,2,1,
144,3,2,0,0,
145,2,0,0,1,
146,0,0,4,0,
147,0,4,0,1,
148,4,0,0,1,
149,0,0,5,1,
150,0,5,2,0,
151,5,2,3,1,
152,2,3,3,0,
153,3,3,5,0,
154,3,5,3,1,
155,5,3,3,1,
156,3,3,4,-1,
157,3,4,2,1,
158,4,2,2,0,
159,2,2,3,1,
160,2,3,1,1,
161,3,1,2,0,
162,1,2,3,0,
163,2,3,2,0,
164,3,2,2,0,
165,2,2,4,0,
166,2,4,3,0,
167,4,3,1,1,
168,3,1,0,1,
169,1,0,0,1,
170,0,0,1,0,
171,0,1,1,1,
172,1,1,1,1,
173,1,1,4,1,
174,1,4,3,1,
175,4,3,4,1,
176,3,4,4,0,
177,4,4,5,0,
178,4,5,0,0,
179,5,0,0,0,
180,0,0,5,0,
181,0,5,3,0,
182,5,3,1,0,
183,3,1,2,0,
184,1,2,5,0,
185,2,5,4,0,
186,5,4,3,0,
187,4,3,4,1,
188,3,4,0,1,
189,4,0,0,1,
190,0,0,1,0,
191,0,1,1,0,
192,1,1,2,1,
193,1,2,4,-1,
194,2,4,3,1,
195,4,3,4,1,
196,3,4,5,1,
197,4,5,4,-1,
198,5,4,5,1,
199,4,5,0,0,
200,5,0,3,0,
201,0,3,2,1,
202,3,2,4,0,
203,2,4,4,0,
204,4,4,4,0,
205,4,4,5,0,
206,4,5,2,1,
207,5,2,2,0,
208,2,2,5,0,
209,2,5,1,-1,
210,5,1,4,0,
211,1,4,5,0,
212,4,5,5,0,
213,5,5,1,1,
214,5,1,0,1,
215,1,0,0,0,
216,0,0,3,1,
217,0,3,2,1,
218,3,2,3,0,
219,2,3,0,0,
220,3,0,2,1,
221,0,2,0,0,
222,2,0,0,1,
223,0,0,3,1,
224,0,3,2,0,
225,3,2,3,1,
226,2,3,3,0,
227,3,3,2,1,
228,3,2,0,0,
229,2,0,2,0,
230,0,2,2,1,
231,2,2,3,-1,
232,2,3,1,0,
233,3,1,2,1,
234,1,2,1,1,
235,2,1,3,0,
236,1,3,2,1,
237,3,2,2,0,
238,2,2,5,1,
239,2,5,4,0,
240,5,4,2,0,
241,4,2,0,1,
242,2,0,1,0,
243,0,1,3,0,
244,1,3,0,1,
245,3,0,2,1,
246,0,2,4,0,
247,2,4,0,0,
248,4,0,0,1,
249,0,0,0,1,
250,0,0,3,0,
251,0,3,2,0,
252,3,2,5,-1,
253,2,5,4,-1,
254,5,4,0,1,
255,4,0,0,0,
256,0,0,3,0,
257,0,3,4,0,
258,3,4,5,0,
259,4,5,1,0,
260,5,1,4,-1,
261,1,4,0,0,
262,4,0,0,1,
263,0,0,3,0,
264,0,3,2,1,
265,3,2,0,1,
266,2,0,0,0,
267,0,0,2,0,
268,0,2,0,0,
269,2,0,0,1,
270,0,0,2,0,
271,0,2,1,1,
272,2,1,2,1,
273,1,2,0,0,
274,2,0,0,1,
275,0,0,3,0,
276,0,3,2,1,
277,3,2,4,0,
278,2,4,3,1,
279,4,3,0,0,
280,3,0,1,0,
281,0,1,5,1,
282,1,5,3,1,
283,5,3,3,1,
284,3,3,0,1,
285,3,0,1,0,
286,0,1,2,0,
287,1,2,2,1,
288,2,2,5,0,
289,2,5,3,0,
290,5,3,5,0,
291,3,5,4,0,
292,5,4,2,1,
293,4,2,0,0,
294,2,0,1,0,
295,0,1,4,0,
296,1,4,2,1,
297,4,2,0,1,
298,2,0,2,1,
