,s-2,s-1,a,r,none
0,2,3,3,1,
1,3,3,4,0,
2,3,4,3,1,
3,4,3,2,0,
4,3,2,5,0,
5,2,5,0,1,
6,5,0,5,0,
7,0,5,5,0,
8,5,5,3,0,
9,5,3,4,0,
10,3,4,2,1,
11,4,2,5,-1,
12,2,5,5,0,
13,5,5,2,1,
14,5,2,5,1,
15,2,5,2,1,
16,5,2,4,0,
17,2,4,3,1,
18,4,3,0,0,
19,3,0,3,1,
20,0,3,0,1,
21,3,0,0,1,
22,0,0,0,1,
23,0,0,0,1,
24,0,0,1,0,
25,0,1,5,1,
26,1,5,1,0,
27,5,1,1,1,
28,1,1,3,-1,
29,1,3,0,1,
30,3,0,4,1,
31,0,4,2,0,
32,4,2,3,-1,
33,2,3,3,1,
34,3,3,5,-1,
35,3,5,3,0,
36,5,3,4,1,
37,3,4,3,0,
38,4,3,5,0,
39,3,5,1,-1,
40,5,1,3,0,
41,1,3,0,1,
42,3,0,4,1,
43,0,4,5,0,
44,4,5,4,1,
45,5,4,4,0,
46,4,4,2,1,
47,4,2,2,0,
48,2,2,0,0,
49,2,0,4,1,
50,0,4,2,0,
51,4,2,4,0,
52,2,4,5,0,
53,4,5,0,1,
54,5,0,3,1,
55,0,3,4,-1,
56,3,4,3,0,
57,4,3,1,0,
58,3,1,0,1,
59,1,0,5,0,
60,0,5,2,1,
61,5,2,4,0,
62,2,4,2,0,
63,4,2,0,0,
64,2,0,4,-1,
65,0,4,0,1,
66,4,0,4,0,
67,0,4,1,0,
68,4,1,3,0,
69,1,3,1,1,
70,3,1,4,1,
71,1,4,1,1,
72,4,1,1,1,
73,1,1,2,1,
74,1,2,0,0,
75,2,0,5,1,
76,0,5,2,0,
77,5,2,0,1,
78,2,0,2,0,
79,0,2,3,0,
80,2,3,1,1,
81,3,1,2,1,
82,1,2,0,1,
83,2,0,2,0,
84,0,2,1,-1,
85,2,1,3,0,
86,1,3,1,1,
87,3,1,4,1,
88,1,4,3,1,
89,4,3,3,1,
90,3,3,3,0,
91,3,3,5,0,
92,3,5,3,0,
93,5,3,4,1,
94,3,4,1,1,
95,4,1,3,0,
96,1,3,1,-1,
97,3,1,2,-1,
98,1,2,0,0,
99,2,0,3,1,
100,0,3,3,1,
101,3,3,2,0,
102,3,2,3,1,
103,2,3,0,1,
104,3,0,0,1,
105,0,0,2,1,
106,0,2,0,0,
107,2,0,3,0,
108,0,3,3,1,
109,3,3,0,0,
110,3,0,0,1,
111,0,0,5,1,
112,0,5,3,-1,
113,5,3,4,1,
114,3,4,4,0,
115,4,4,5,0,
116,4,5,5,0,
117,5,5,0,0,
118,5,0,0,1,
119,0,0,5,0,
120,0,5,0,0,
121,5,0,5,1,
122,0,5,3,0,
123,5,3,4,0,
124,3,4,1,0,
125,4,1,3,0,
126,1,3,0,1,
127,3,0,0,1,
128,0,0,3,-1,
129,0,3,3,0,
130,3,3,4,0,
131,3,4,3,1,
132,4,3,4,0,
133,3,4,0,1,
134,4,0,4,1,
135,0,4,1,0,
136,4,1,4,0,
137,1,4,3,0,
138,4,3,2,0,
139,3,2,0,0,
140,2,0,0,1,
141,0,0,5,0,
142,0,5,0,0,
143,5,0,4,-1,
144,0,4,2,0,
145,4,2,2,0,
146,2,2,5,1,
147,2,5,2,1,
148,5,2,2,0,
