,s-4,s-3,s-2,s-1,a,r
0,6,10,4,15,12,0.0
1,10,4,15,12,14,1.0
2,4,15,12,14,8,0.0
3,15,12,14,8,5,-1.0
4,12,14,8,5,1,1.0
5,14,8,5,1,3,0.0
6,8,5,1,3,2,0.0
7,5,1,3,2,6,0.0
8,1,3,2,6,11,0.0
9,3,2,6,11,14,1.0
10,2,6,11,14,3,0.0
11,6,11,14,3,5,1.0
12,11,14,3,5,14,1.0
13,14,3,5,14,7,0.0
14,3,5,14,7,10,-1.0
15,5,14,7,10,0,0.0
16,14,7,10,0,1,1.0
17,7,10,0,1,1,0.0
18,10,0,1,1,18,0.0
19,0,1,1,18,11,0.0
20,1,1,18,11,5,0.0
21,1,18,11,5,0,1.0
22,18,11,5,0,13,0.0
23,11,5,0,13,14,0.0
24,5,0,13,14,13,0.0
25,0,13,14,13,3,1.0
26,13,14,13,3,4,1.0
27,14,13,3,4,6,0.0
28,13,3,4,6,16,0.0
29,3,4,6,16,9,-1.0
30,4,6,16,9,15,0.0
31,6,16,9,15,11,1.0
32,16,9,15,11,5,-1.0
33,9,15,11,5,18,1.0
34,15,11,5,18,3,-1.0
35,11,5,18,3,12,0.0
36,5,18,3,12,13,0.0
37,18,3,12,13,9,1.0
38,3,12,13,9,12,1.0
39,12,13,9,12,5,0.0
40,13,9,12,5,15,0.0
41,9,12,5,15,3,1.0
42,12,5,15,3,16,1.0
43,5,15,3,16,19,0.0
44,15,3,16,19,0,1.0
45,3,16,19,0,14,1.0
46,16,19,0,14,4,0.0
47,19,0,14,4,15,0.0
48,0,14,4,15,10,1.0
49,14,4,15,10,0,0.0
50,4,15,10,0,14,0.0
51,15,10,0,14,14,0.0
52,10,0,14,14,12,1.0
53,0,14,14,12,11,0.0
54,14,14,12,11,9,1.0
55,14,12,11,9,0,0.0
56,12,11,9,0,13,0.0
57,11,9,0,13,11,1.0
58,9,0,13,11,11,0.0
59,0,13,11,11,14,1.0
60,13,11,11,14,18,0.0
61,11,11,14,18,7,0.0
62,11,14,18,7,6,0.0
63,14,18,7,6,14,0.0
64,18,7,6,14,17,-1.0
65,7,6,14,17,9,0.0
66,6,14,17,9,18,0.0
67,14,17,9,18,1,0.0
68,17,9,18,1,4,0.0
69,9,18,1,4,6,1.0
70,18,1,4,6,6,1.0
71,1,4,6,6,15,1.0
72,4,6,6,15,1,0.0
73,6,6,15,1,12,1.0
74,6,15,1,12,19,0.0
75,15,1,12,19,2,0.0
76,1,12,19,2,11,0.0
77,12,19,2,11,7,0.0
78,19,2,11,7,18,0.0
79,2,11,7,18,18,1.0
80,11,7,18,18,9,-1.0
81,7,18,18,9,10,1.0
82,18,18,9,10,16,0.0
83,18,9,10,16,13,1.0
84,9,10,16,13,17,1.0
85,10,16,13,17,11,0.0
86,16,13,17,11,18,1.0
87,13,17,11,18,5,-1.0
88,17,11,18,5,10,1.0
89,11,18,5,10,15,0.0
90,18,5,10,15,4,1.0
91,5,10,15,4,11,-1.0
92,10,15,4,11,9,-1.0
93,15,4,11,9,14,1.0
94,4,11,9,14,14,0.0
95,11,9,14,14,5,1.0
96,9,14,14,5,19,1.0
97,14,14,5,19,16,0.0
98,14,5,19,16,5,1.0
99,5,19,16,5,13,-1.0
100,19,16,5,13,15,0.0
101,16,5,13,15,3,-1.0
102,5,13,15,3,19,0.0
103,13,15,3,19,14,0.0
104,15,3,19,14,0,0.0
105,3,19,14,0,6,1.0
106,19,14,0,6,7,1.0
107,14,0,6,7,15,1.0
108,0,6,7,15,1,0.0
109,6,7,15,1,6,0.0
110,7,15,1,6,0,1.0
111,15,1,6,0,6,0.0
112,1,6,0,6,7,0.0
113,6,0,6,7,10,-1.0
114,0,6,7,10,10,0.0
115,6,7,10,10,1,1.0
116,7,10,10,1,19,0.0
117,10,10,1,19,5,0.0
118,10,1,19,5,7,0.0
119,1,19,5,7,12,0.0
120,19,5,7,12,3,0.0
121,5,7,12,3,9,0.0
122,7,12,3,9,2,1.0
123,12,3,9,2,13,1.0
124,3,9,2,13,16,-1.0
125,9,2,13,16,12,1.0
126,2,13,16,12,3,0.0
127,13,16,12,3,11,-1.0
128,16,12,3,11,9,1.0
129,12,3,11,9,13,0.0
130,3,11,9,13,9,0.0
131,11,9,13,9,4,-1.0
132,9,13,9,4,3,0.0
133,13,9,4,3,8,0.0
134,9,4,3,8,2,1.0
135,4,3,8,2,13,1.0
136,3,8,2,13,13,0.0
137,8,2,13,13,0,1.0
138,2,13,13,0,8,0.0
139,13,13,0,8,5,0.0
140,13,0,8,5,10,1.0
141,0,8,5,10,1,0.0
142,8,5,10,1,7,1.0
143,5,10,1,7,12,1.0
144,10,1,7,12,18,1.0
145,1,7,12,18,2,0.0
146,7,12,18,2,16,0.0
147,12,18,2,16,4,1.0
148,18,2,16,4,13,0.0
149,2,16,4,13,0,-1.0
150,16,4,13,0,9,1.0
151,4,13,0,9,10,1.0
152,13,0,9,10,19,1.0
153,0,9,10,19,8,0.0
154,9,10,19,8,10,1.0
155,10,19,8,10,0,1.0
156,19,8,10,0,6,0.0
157,8,10,0,6,12,1.0
158,10,0,6,12,5,1.0
159,0,6,12,5,17,0.0
160,6,12,5,17,11,1.0
161,12,5,17,11,5,0.0
162,5,17,11,5,15,0.0
163,17,11,5,15,19,1.0
164,11,5,15,19,19,1.0
165,5,15,19,19,5,1.0
166,15,19,19,5,9,0.0
167,19,19,5,9,4,-1.0
168,19,5,9,4,6,1.0
169,5,9,4,6,0,1.0
170,9,4,6,0,7,1.0
171,4,6,0,7,17,0.0
172,6,0,7,17,13,1.0
173,0,7,17,13,7,0.0
174,7,17,13,7,18,1.0
175,17,13,7,18,18,1.0
176,13,7,18,18,15,0.0
177,7,18,18,15,4,-1.0
178,18,18,15,4,12,1.0
179,18,15,4,12,1,1.0
180,15,4,12,1,15,1.0
181,4,12,1,15,5,0.0
182,12,1,15,5,10,0.0
183,1,15,5,10,7,1.0
184,15,5,10,7,19,1.0
185,5,10,7,19,11,1.0
186,10,7,19,11,18,0.0
187,7,19,11,18,18,1.0
188,19,11,18,18,4,1.0
189,11,18,18,4,2,1.0
190,18,18,4,2,4,1.0
191,18,4,2,4,12,0.0
192,4,2,4,12,8,1.0
193,2,4,12,8,7,-1.0
194,4,12,8,7,19,1.0
195,12,8,7,19,0,1.0
196,8,7,19,0,13,0.0
197,7,19,0,13,7,0.0
198,19,0,13,7,9,1.0
199,0,13,7,9,17,1.0
200,13,7,9,17,10,0.0
201,7,9,17,10,9,1.0
202,9,17,10,9,8,0.0
203,17,10,9,8,5,0.0
204,10,9,8,5,10,0.0
205,9,8,5,10,8,1.0
206,8,5,10,8,14,0.0
207,5,10,8,14,13,0.0
208,10,8,14,13,12,0.0
209,8,14,13,12,2,1.0
210,14,13,12,2,7,1.0
211,13,12,2,7,19,1.0
212,12,2,7,19,15,0.0
213,2,7,19,15,12,1.0
214,7,19,15,12,4,0.0
215,19,15,12,4,17,1.0
216,15,12,4,17,13,0.0
217,12,4,17,13,11,0.0
218,4,17,13,11,3,0.0
219,17,13,11,3,6,1.0
220,13,11,3,6,0,1.0
221,11,3,6,0,1,0.0
222,3,6,0,1,4,0.0
223,6,0,1,4,13,0.0
224,0,1,4,13,10,-1.0
225,1,4,13,10,12,1.0
226,4,13,10,12,18,1.0
227,13,10,12,18,15,0.0
228,10,12,18,15,18,0.0
229,12,18,15,18,1,1.0
230,18,15,18,1,3,1.0
231,15,18,1,3,4,1.0
232,18,1,3,4,10,1.0
233,1,3,4,10,9,1.0
234,3,4,10,9,17,0.0
235,4,10,9,17,3,0.0
236,10,9,17,3,14,0.0
237,9,17,3,14,2,0.0
238,17,3,14,2,17,0.0
239,3,14,2,17,3,0.0
240,14,2,17,3,10,1.0
241,2,17,3,10,1,1.0
242,17,3,10,1,16,1.0
243,3,10,1,16,18,1.0
244,10,1,16,18,10,-1.0
245,1,16,18,10,8,1.0
246,16,18,10,8,15,0.0
247,18,10,8,15,13,1.0
248,10,8,15,13,8,0.0
249,8,15,13,8,6,1.0
250,15,13,8,6,14,1.0
251,13,8,6,14,12,1.0
252,8,6,14,12,18,1.0
253,6,14,12,18,18,1.0
254,14,12,18,18,5,1.0
255,12,18,18,5,4,1.0
256,18,18,5,4,16,0.0
257,18,5,4,16,10,1.0
258,5,4,16,10,10,0.0
259,4,16,10,10,1,0.0
260,16,10,10,1,5,0.0
261,10,10,1,5,2,0.0
262,10,1,5,2,8,1.0
263,1,5,2,8,15,0.0
264,5,2,8,15,3,0.0
265,2,8,15,3,2,1.0
266,8,15,3,2,19,1.0
267,15,3,2,19,14,0.0
268,3,2,19,14,10,0.0
269,2,19,14,10,7,1.0
270,19,14,10,7,15,1.0
271,14,10,7,15,18,1.0
272,10,7,15,18,19,0.0
273,7,15,18,19,13,0.0
274,15,18,19,13,19,1.0
275,18,19,13,19,13,1.0
276,19,13,19,13,2,0.0
277,13,19,13,2,15,0.0
278,19,13,2,15,11,0.0
279,13,2,15,11,16,0.0
280,2,15,11,16,0,1.0
281,15,11,16,0,5,0.0
282,11,16,0,5,12,0.0
283,16,0,5,12,2,0.0
284,0,5,12,2,13,0.0
285,5,12,2,13,15,-1.0
286,12,2,13,15,0,1.0
287,2,13,15,0,19,0.0
288,13,15,0,19,16,1.0
289,15,0,19,16,12,1.0
290,0,19,16,12,7,0.0
291,19,16,12,7,16,1.0
292,16,12,7,16,2,1.0
293,12,7,16,2,12,1.0
294,7,16,2,12,5,-1.0
295,16,2,12,5,3,0.0
296,2,12,5,3,16,-1.0
297,12,5,3,16,19,1.0
298,5,3,16,19,6,0.0
299,3,16,19,6,10,0.0
300,16,19,6,10,8,1.0
301,19,6,10,8,5,0.0
302,6,10,8,5,7,0.0
303,10,8,5,7,16,1.0
304,8,5,7,16,14,1.0
305,5,7,16,14,15,1.0
306,7,16,14,15,17,0.0
307,16,14,15,17,1,-1.0
308,14,15,17,1,14,1.0
309,15,17,1,14,16,0.0
310,17,1,14,16,2,0.0
311,1,14,16,2,7,0.0
312,14,16,2,7,3,0.0
313,16,2,7,3,14,1.0
314,2,7,3,14,19,0.0
315,7,3,14,19,16,0.0
316,3,14,19,16,15,0.0
317,14,19,16,15,16,0.0
318,19,16,15,16,3,1.0
319,16,15,16,3,3,1.0
320,15,16,3,3,16,1.0
321,16,3,3,16,8,1.0
322,3,3,16,8,16,0.0
323,3,16,8,16,10,0.0
324,16,8,16,10,18,0.0
325,8,16,10,18,12,0.0
326,16,10,18,12,8,0.0
327,10,18,12,8,19,0.0
328,18,12,8,19,5,1.0
329,12,8,19,5,9,0.0
330,8,19,5,9,11,1.0
331,19,5,9,11,11,0.0
332,5,9,11,11,16,0.0
333,9,11,11,16,3,1.0
334,11,11,16,3,13,0.0
335,11,16,3,13,8,0.0
336,16,3,13,8,18,1.0
337,3,13,8,18,12,1.0
338,13,8,18,12,18,0.0
339,8,18,12,18,9,1.0
340,18,12,18,9,12,0.0
341,12,18,9,12,0,0.0
342,18,9,12,0,18,0.0
343,9,12,0,18,1,1.0
344,12,0,18,1,8,1.0
345,0,18,1,8,7,0.0
346,18,1,8,7,13,1.0
347,1,8,7,13,1,0.0
348,8,7,13,1,13,0.0
349,7,13,1,13,14,1.0
350,13,1,13,14,19,1.0
351,1,13,14,19,18,1.0
352,13,14,19,18,18,1.0
353,14,19,18,18,14,0.0
354,19,18,18,14,5,0.0
355,18,18,14,5,18,0.0
356,18,14,5,18,18,1.0
357,14,5,18,18,13,0.0
358,5,18,18,13,5,0.0
359,18,18,13,5,16,0.0
360,18,13,5,16,16,0.0
361,13,5,16,16,3,-1.0
362,5,16,16,3,1,0.0
363,16,16,3,1,19,0.0
364,16,3,1,19,7,0.0
365,3,1,19,7,9,1.0
366,1,19,7,9,14,0.0
367,19,7,9,14,19,0.0
368,7,9,14,19,10,-1.0
369,9,14,19,10,5,0.0
370,14,19,10,5,15,0.0
371,19,10,5,15,4,1.0
372,10,5,15,4,6,1.0
373,5,15,4,6,12,0.0
374,15,4,6,12,18,0.0
375,4,6,12,18,16,1.0
376,6,12,18,16,9,0.0
377,12,18,16,9,2,0.0
378,18,16,9,2,1,0.0
379,16,9,2,1,19,0.0
380,9,2,1,19,19,0.0
381,2,1,19,19,6,0.0
382,1,19,19,6,15,0.0
383,19,19,6,15,2,0.0
384,19,6,15,2,1,0.0
385,6,15,2,1,7,1.0
386,15,2,1,7,1,0.0
387,2,1,7,1,4,1.0
388,1,7,1,4,13,0.0
389,7,1,4,13,17,-1.0
390,1,4,13,17,7,0.0
391,4,13,17,7,5,1.0
392,13,17,7,5,11,0.0
393,17,7,5,11,0,1.0
394,7,5,11,0,2,0.0
395,5,11,0,2,5,1.0
396,11,0,2,5,6,0.0
397,0,2,5,6,13,1.0
398,2,5,6,13,2,1.0
399,5,6,13,2,1,0.0
400,6,13,2,1,3,0.0
401,13,2,1,3,17,0.0
402,2,1,3,17,5,0.0
403,1,3,17,5,3,1.0
404,3,17,5,3,15,-1.0
405,17,5,3,15,3,1.0
406,5,3,15,3,3,0.0
407,3,15,3,3,14,1.0
408,15,3,3,14,13,1.0
409,3,3,14,13,0,0.0
410,3,14,13,0,6,0.0
411,14,13,0,6,7,0.0
412,13,0,6,7,0,0.0
413,0,6,7,0,2,0.0
414,6,7,0,2,5,1.0
415,7,0,2,5,3,0.0
416,0,2,5,3,15,1.0
417,2,5,3,15,17,0.0
418,5,3,15,17,12,1.0
419,3,15,17,12,19,0.0
420,15,17,12,19,11,1.0
421,17,12,19,11,19,0.0
422,12,19,11,19,18,1.0
423,19,11,19,18,3,-1.0
424,11,19,18,3,10,0.0
425,19,18,3,10,2,1.0
426,18,3,10,2,8,0.0
427,3,10,2,8,8,0.0
428,10,2,8,8,10,1.0
429,2,8,8,10,11,1.0
430,8,8,10,11,11,0.0
431,8,10,11,11,0,0.0
432,10,11,11,0,4,1.0
433,11,11,0,4,5,1.0
434,11,0,4,5,19,1.0
435,0,4,5,19,19,-1.0
436,4,5,19,19,4,1.0
437,5,19,19,4,6,1.0
438,19,19,4,6,8,1.0
439,19,4,6,8,17,1.0
440,4,6,8,17,19,0.0
441,6,8,17,19,11,0.0
442,8,17,19,11,10,-1.0
443,17,19,11,10,16,1.0
444,19,11,10,16,13,0.0
445,11,10,16,13,11,0.0
446,10,16,13,11,11,0.0
447,16,13,11,11,4,1.0
448,13,11,11,4,14,1.0
449,11,11,4,14,13,1.0
450,11,4,14,13,12,0.0
451,4,14,13,12,14,0.0
452,14,13,12,14,17,1.0
453,13,12,14,17,3,1.0
454,12,14,17,3,3,0.0
455,14,17,3,3,19,1.0
456,17,3,3,19,3,1.0
457,3,3,19,3,17,0.0
458,3,19,3,17,0,0.0
459,19,3,17,0,7,0.0
460,3,17,0,7,12,0.0
461,17,0,7,12,5,0.0
462,0,7,12,5,1,1.0
463,7,12,5,1,16,1.0
464,12,5,1,16,17,1.0
465,5,1,16,17,10,0.0
