,s-5,s-4,s-3,s-2,s-1,a,r
0,48,69,43,28,40,79.0,0.0
1,69,43,28,40,79,79.0,0.0
2,43,28,40,79,79,79.0,0.0
3,28,40,79,79,79,79.0,0.0
4,40,79,79,79,79,79.0,0.0
5,79,79,79,79,79,6.0,1.0
6,79,79,79,79,6,0.0,0.0
7,79,79,79,6,0,63.0,1.0
8,79,79,6,0,63,79.0,1.0
9,79,6,0,63,79,79.0,-1.0
10,6,0,63,79,79,78.0,1.0
11,0,63,79,79,78,79.0,0.0
12,63,79,79,78,79,66.0,0.0
13,79,79,78,79,66,24.0,0.0
14,79,78,79,66,24,42.0,0.0
15,78,79,66,24,42,79.0,0.0
16,79,66,24,42,79,35.0,1.0
17,66,24,42,79,35,79.0,0.0
18,24,42,79,35,79,47.0,0.0
19,42,79,35,79,47,79.0,0.0
20,79,35,79,47,79,78.0,0.0
21,35,79,47,79,78,0.0,0.0
22,79,47,79,78,0,79.0,0.0
23,47,79,78,0,79,0.0,0.0
24,79,78,0,79,0,47.0,1.0
25,78,0,79,0,47,0.0,1.0
26,0,79,0,47,0,0.0,1.0
27,79,0,47,0,0,0.0,1.0
28,0,47,0,0,0,19.0,0.0
29,47,0,0,0,19,0.0,0.0
30,0,0,0,19,0,6.0,0.0
31,0,0,19,0,6,79.0,1.0
32,0,19,0,6,79,79.0,-1.0
33,19,0,6,79,79,79.0,1.0
34,0,6,79,79,79,22.0,1.0
35,6,79,79,79,22,31.0,0.0
36,79,79,79,22,31,79.0,1.0
37,79,79,22,31,79,19.0,0.0
38,79,22,31,79,19,0.0,0.0
39,22,31,79,19,0,79.0,0.0
40,31,79,19,0,79,0.0,1.0
41,79,19,0,79,0,17.0,0.0
42,19,0,79,0,17,79.0,0.0
43,0,79,0,17,79,10.0,0.0
44,79,0,17,79,10,79.0,1.0
45,0,17,79,10,79,79.0,1.0
46,17,79,10,79,79,79.0,1.0
47,79,10,79,79,79,56.0,0.0
48,10,79,79,79,56,79.0,0.0
49,79,79,79,56,79,24.0,1.0
50,79,79,56,79,24,0.0,0.0
51,79,56,79,24,0,0.0,1.0
52,56,79,24,0,0,62.0,1.0
53,79,24,0,0,62,32.0,0.0
54,24,0,0,62,32,4.0,0.0
55,0,0,62,32,4,1.0,1.0
56,0,62,32,4,1,16.0,1.0
57,62,32,4,1,16,35.0,0.0
58,32,4,1,16,35,24.0,0.0
59,4,1,16,35,24,40.0,1.0
60,1,16,35,24,40,58.0,1.0
61,16,35,24,40,58,10.0,0.0
62,35,24,40,58,10,33.0,1.0
63,24,40,58,10,33,0.0,1.0
64,40,58,10,33,0,26.0,0.0
65,58,10,33,0,26,0.0,0.0
66,10,33,0,26,0,15.0,1.0
67,33,0,26,0,15,0.0,1.0
68,0,26,0,15,0,79.0,-1.0
69,26,0,15,0,79,29.0,1.0
70,0,15,0,79,29,0.0,0.0
71,15,0,79,29,0,0.0,1.0
72,0,79,29,0,0,45.0,1.0
73,79,29,0,0,45,0.0,0.0
74,29,0,0,45,0,0.0,1.0
75,0,0,45,0,0,79.0,0.0
76,0,45,0,0,79,0.0,1.0
77,45,0,0,79,0,0.0,1.0
78,0,0,79,0,0,79.0,0.0
79,0,79,0,0,79,6.0,0.0
80,79,0,0,79,6,0.0,1.0
81,0,0,79,6,0,64.0,1.0
82,0,79,6,0,64,0.0,1.0
83,79,6,0,64,0,0.0,1.0
84,6,0,64,0,0,47.0,0.0
85,0,64,0,0,47,0.0,1.0
86,64,0,0,47,0,0.0,1.0
87,0,0,47,0,0,0.0,1.0
88,0,47,0,0,0,79.0,0.0
89,47,0,0,0,79,11.0,0.0
90,0,0,0,79,11,22.0,0.0
91,0,0,79,11,22,55.0,1.0
92,0,79,11,22,55,0.0,1.0
93,79,11,22,55,0,73.0,0.0
94,11,22,55,0,73,5.0,1.0
95,22,55,0,73,5,0.0,0.0
96,55,0,73,5,0,0.0,1.0
97,0,73,5,0,0,19.0,0.0
98,73,5,0,0,19,32.0,0.0
99,5,0,0,19,32,71.0,0.0
100,0,0,19,32,71,17.0,0.0
101,0,19,32,71,17,0.0,1.0
102,19,32,71,17,0,0.0,1.0
103,32,71,17,0,0,0.0,0.0
104,71,17,0,0,0,79.0,1.0
105,17,0,0,0,79,0.0,0.0
106,0,0,0,79,0,5.0,1.0
107,0,0,79,0,5,0.0,1.0
108,0,79,0,5,0,15.0,0.0
109,79,0,5,0,15,63.0,0.0
110,0,5,0,15,63,30.0,0.0
111,5,0,15,63,30,0.0,1.0
112,0,15,63,30,0,51.0,0.0
113,15,63,30,0,51,0.0,1.0
114,63,30,0,51,0,0.0,1.0
115,30,0,51,0,0,0.0,1.0
116,0,51,0,0,0,6.0,-1.0
117,51,0,0,0,6,23.0,1.0
118,0,0,0,6,23,14.0,0.0
119,0,0,6,23,14,0.0,0.0
120,0,6,23,14,0,47.0,1.0
121,6,23,14,0,47,0.0,0.0
122,23,14,0,47,0,0.0,1.0
123,14,0,47,0,0,0.0,-1.0
124,0,47,0,0,0,0.0,1.0
125,47,0,0,0,0,0.0,1.0
126,0,0,0,0,0,72.0,1.0
127,0,0,0,0,72,0.0,0.0
128,0,0,0,72,0,0.0,1.0
129,0,0,72,0,0,0.0,1.0
130,0,72,0,0,0,0.0,1.0
131,72,0,0,0,0,0.0,1.0
132,0,0,0,0,0,79.0,0.0
133,0,0,0,0,79,60.0,1.0
134,0,0,0,79,60,30.0,1.0
135,0,0,79,60,30,4.0,1.0
136,0,79,60,30,4,0.0,1.0
137,79,60,30,4,0,0.0,1.0
138,60,30,4,0,0,0.0,1.0
139,30,4,0,0,0,79.0,0.0
140,4,0,0,0,79,0.0,0.0
141,0,0,0,79,0,0.0,1.0
142,0,0,79,0,0,0.0,1.0
143,0,79,0,0,0,0.0,1.0
144,79,0,0,0,0,0.0,1.0
145,0,0,0,0,0,0.0,1.0
146,0,0,0,0,0,0.0,1.0
147,0,0,0,0,0,0.0,0.0
148,0,0,0,0,0,0.0,1.0
149,0,0,0,0,0,0.0,0.0
150,0,0,0,0,0,15.0,0.0
151,0,0,0,0,15,0.0,0.0
152,0,0,0,15,0,18.0,1.0
153,0,0,15,0,18,0.0,1.0
154,0,15,0,18,0,0.0,1.0
155,15,0,18,0,0,0.0,1.0
156,0,18,0,0,0,0.0,1.0
157,18,0,0,0,0,0.0,1.0
158,0,0,0,0,0,0.0,1.0
159,0,0,0,0,0,0.0,1.0
160,0,0,0,0,0,0.0,0.0
161,0,0,0,0,0,0.0,1.0
162,0,0,0,0,0,0.0,1.0
163,0,0,0,0,0,0.0,0.0
164,0,0,0,0,0,0.0,1.0
165,0,0,0,0,0,0.0,0.0
166,0,0,0,0,0,0.0,-1.0
167,0,0,0,0,0,0.0,0.0
168,0,0,0,0,0,0.0,1.0
169,0,0,0,0,0,0.0,0.0
170,0,0,0,0,0,0.0,-1.0
171,0,0,0,0,0,0.0,-1.0
172,0,0,0,0,0,0.0,-1.0
173,0,0,0,0,0,0.0,-1.0
174,0,0,0,0,0,0.0,0.0
175,0,0,0,0,0,28.0,1.0
176,0,0,0,0,28,0.0,1.0
177,0,0,0,28,0,0.0,1.0
178,0,0,28,0,0,38.0,0.0
179,0,28,0,0,38,0.0,1.0
180,28,0,0,38,0,0.0,1.0
181,0,0,38,0,0,16.0,1.0
182,0,38,0,0,16,0.0,0.0
183,38,0,0,16,0,0.0,1.0
184,0,0,16,0,0,65.0,0.0
185,0,16,0,0,65,68.0,0.0
186,16,0,0,65,68,0.0,1.0
187,0,0,65,68,0,0.0,0.0
188,0,65,68,0,0,0.0,1.0
189,65,68,0,0,0,0.0,1.0
190,68,0,0,0,0,29.0,-1.0
191,0,0,0,0,29,0.0,0.0
192,0,0,0,29,0,0.0,1.0
193,0,0,29,0,0,0.0,1.0
194,0,29,0,0,0,0.0,1.0
195,29,0,0,0,0,0.0,1.0
196,0,0,0,0,0,16.0,1.0
197,0,0,0,0,16,20.0,1.0
198,0,0,0,16,20,0.0,0.0
199,0,0,16,20,0,0.0,0.0
200,0,16,20,0,0,0.0,0.0
201,16,20,0,0,0,0.0,1.0
202,20,0,0,0,0,32.0,1.0
203,0,0,0,0,32,12.0,1.0
204,0,0,0,32,12,0.0,1.0
205,0,0,32,12,0,24.0,1.0
206,0,32,12,0,24,0.0,1.0
207,32,12,0,24,0,0.0,1.0
208,12,0,24,0,0,0.0,1.0
209,0,24,0,0,0,74.0,0.0
210,24,0,0,0,74,0.0,1.0
211,0,0,0,74,0,40.0,0.0
212,0,0,74,0,40,0.0,1.0
213,0,74,0,40,0,0.0,0.0
214,74,0,40,0,0,0.0,1.0
215,0,40,0,0,0,0.0,1.0
216,40,0,0,0,0,0.0,1.0
217,0,0,0,0,0,0.0,1.0
218,0,0,0,0,0,0.0,1.0
219,0,0,0,0,0,63.0,1.0
220,0,0,0,0,63,0.0,1.0
221,0,0,0,63,0,0.0,1.0
222,0,0,63,0,0,49.0,0.0
223,0,63,0,0,49,0.0,1.0
224,63,0,0,49,0,0.0,0.0
225,0,0,49,0,0,0.0,1.0
226,0,49,0,0,0,0.0,1.0
227,49,0,0,0,0,0.0,1.0
228,0,0,0,0,0,71.0,0.0
229,0,0,0,0,71,0.0,0.0
230,0,0,0,71,0,58.0,1.0
231,0,0,71,0,58,0.0,0.0
232,0,71,0,58,0,32.0,1.0
233,71,0,58,0,32,0.0,1.0
234,0,58,0,32,0,0.0,1.0
235,58,0,32,0,0,0.0,1.0
236,0,32,0,0,0,0.0,1.0
237,32,0,0,0,0,70.0,0.0
238,0,0,0,0,70,0.0,1.0
239,0,0,0,70,0,0.0,1.0
240,0,0,70,0,0,0.0,1.0
241,0,70,0,0,0,0.0,1.0
242,70,0,0,0,0,0.0,1.0
243,0,0,0,0,0,0.0,1.0
244,0,0,0,0,0,0.0,1.0
245,0,0,0,0,0,0.0,1.0
246,0,0,0,0,0,0.0,1.0
247,0,0,0,0,0,0.0,1.0
248,0,0,0,0,0,0.0,-1.0
249,0,0,0,0,0,0.0,0.0
250,0,0,0,0,0,0.0,-1.0
251,0,0,0,0,0,0.0,-1.0
252,0,0,0,0,0,0.0,0.0
253,0,0,0,0,0,0.0,-1.0
254,0,0,0,0,0,0.0,-1.0
255,0,0,0,0,0,0.0,0.0
256,0,0,0,0,0,0.0,0.0
257,0,0,0,0,0,0.0,0.0
258,0,0,0,0,0,2.0,0.0
259,0,0,0,0,2,65.0,0.0
260,0,0,0,2,65,0.0,1.0
261,0,0,2,65,0,0.0,1.0
262,0,2,65,0,0,0.0,1.0
263,2,65,0,0,0,0.0,1.0
264,65,0,0,0,0,27.0,0.0
265,0,0,0,0,27,0.0,0.0
266,0,0,0,27,0,28.0,1.0
267,0,0,27,0,28,0.0,1.0
268,0,27,0,28,0,0.0,1.0
269,27,0,28,0,0,0.0,1.0
270,0,28,0,0,0,0.0,1.0
271,28,0,0,0,0,0.0,1.0
272,0,0,0,0,0,68.0,1.0
273,0,0,0,0,68,0.0,-1.0
274,0,0,0,68,0,0.0,1.0
275,0,0,68,0,0,0.0,1.0
276,0,68,0,0,0,0.0,1.0
277,68,0,0,0,0,0.0,1.0
