,s-2,s-1,a,r,none
0,2,5,0,-1,
1,5,0,0,-1,
2,0,0,0,-1,
3,0,0,0,-1,
4,0,0,0,-1,
5,0,0,1,-1,
6,0,1,1,0,
7,1,1,1,0,
8,1,1,1,0,
9,1,1,1,0,
10,1,1,2,0,
11,1,2,4,-1,
12,2,4,1,0,
13,4,1,5,-1,
14,1,5,0,-1,
15,5,0,0,0,
16,0,0,1,0,
17,0,1,1,0,
18,1,1,1,-1,
19,1,1,1,0,
20,1,1,4,-1,
21,1,4,1,0,
22,4,1,1,0,
23,1,1,1,0,
24,1,1,1,0,
25,1,1,2,1,
26,1,2,2,1,
27,2,2,2,0,
28,2,2,2,0,
29,2,2,2,1,
30,2,2,2,0,
31,2,2,2,1,
32,2,2,2,0,
33,2,2,2,1,
34,2,2,2,-1,
35,2,2,2,0,
36,2,2,2,-1,
37,2,2,2,-1,
38,2,2,3,0,
39,2,3,2,1,
40,3,2,3,0,
41,2,3,3,1,
42,3,3,3,-1,
43,3,3,3,-1,
44,3,3,3,0,
45,3,3,2,0,
46,3,2,2,0,
47,2,2,2,0,
48,2,2,2,1,
49,2,2,2,0,
50,2,2,3,-1,
51,2,3,3,1,
52,3,3,5,1,
53,3,5,5,-1,
54,5,5,3,1,
55,5,3,2,1,
56,3,2,3,-1,
57,2,3,4,-1,
58,3,4,2,-1,
59,4,2,3,-1,
60,2,3,2,1,
61,3,2,2,1,
62,2,2,4,-1,
63,2,4,2,1,
64,4,2,1,0,
65,2,1,2,1,
66,1,2,2,1,
67,2,2,2,0,
68,2,2,2,0,
69,2,2,0,-1,
70,2,0,1,0,
71,0,1,2,-1,
72,1,2,2,1,
73,2,2,2,0,
74,2,2,2,0,
75,2,2,2,0,
76,2,2,2,1,
77,2,2,2,-1,
78,2,2,2,-1,
79,2,2,2,0,
80,2,2,2,1,
81,2,2,5,-1,
82,2,5,2,0,
83,5,2,2,0,
84,2,2,2,-1,
85,2,2,2,1,
86,2,2,2,1,
87,2,2,2,0,
88,2,2,2,0,
89,2,2,2,1,
90,2,2,2,0,
91,2,2,2,0,
92,2,2,2,0,
93,2,2,2,0,
94,2,2,2,0,
95,2,2,2,0,
96,2,2,5,-1,
97,2,5,2,1,
98,5,2,1,-1,
99,2,1,2,1,
100,1,2,2,1,
101,2,2,2,-1,
102,2,2,2,-1,
103,2,2,5,-1,
