,s-4,s-3,s-2,s-1,a,r
0,6,13,9,3,13,0.0
1,13,9,3,13,18,0.0
2,9,3,13,18,1,0.0
3,3,13,18,1,0,-1.0
4,13,18,1,0,19,-1.0
5,18,1,0,19,19,0.0
6,1,0,19,19,19,0.0
7,0,19,19,19,19,0.0
8,19,19,19,19,19,0.0
9,19,19,19,19,19,-1.0
10,19,19,19,19,19,0.0
11,19,19,19,19,19,-1.0
12,19,19,19,19,10,-1.0
13,19,19,19,10,13,0.0
14,19,19,10,13,8,1.0
15,19,10,13,8,9,0.0
16,10,13,8,9,2,1.0
17,13,8,9,2,17,-1.0
18,8,9,2,17,0,0.0
19,9,2,17,0,8,1.0
20,2,17,0,8,4,-1.0
21,17,0,8,4,0,0.0
22,0,8,4,0,11,-1.0
23,8,4,0,11,0,0.0
24,4,0,11,0,3,0.0
25,0,11,0,3,0,-1.0
26,11,0,3,0,0,-1.0
27,0,3,0,0,1,0.0
28,3,0,0,1,5,-1.0
29,0,0,1,5,2,1.0
30,0,1,5,2,11,-1.0
31,1,5,2,11,0,-1.0
32,5,2,11,0,5,-1.0
33,2,11,0,5,13,0.0
34,11,0,5,13,6,-1.0
35,0,5,13,6,16,1.0
36,5,13,6,16,11,-1.0
37,13,6,16,11,13,0.0
38,6,16,11,13,18,-1.0
39,16,11,13,18,0,0.0
40,11,13,18,0,15,1.0
41,13,18,0,15,14,1.0
42,18,0,15,14,19,0.0
43,0,15,14,19,1,0.0
44,15,14,19,1,19,0.0
45,14,19,1,19,10,-1.0
46,19,1,19,10,14,1.0
47,1,19,10,14,19,-1.0
48,19,10,14,19,0,-1.0
49,10,14,19,0,18,-1.0
50,14,19,0,18,17,-1.0
51,19,0,18,17,3,1.0
52,0,18,17,3,0,-1.0
53,18,17,3,0,0,1.0
54,17,3,0,0,16,-1.0
55,3,0,0,16,0,-1.0
56,0,0,16,0,5,-1.0
57,0,16,0,5,19,0.0
58,16,0,5,19,19,0.0
59,0,5,19,19,0,0.0
60,5,19,19,0,19,0.0
61,19,19,0,19,0,0.0
62,19,0,19,0,6,-1.0
63,0,19,0,6,19,1.0
64,19,0,6,19,0,-1.0
65,0,6,19,0,14,1.0
66,6,19,0,14,12,-1.0
67,19,0,14,12,19,1.0
68,0,14,12,19,4,-1.0
69,14,12,19,4,19,-1.0
70,12,19,4,19,4,-1.0
71,19,4,19,4,9,1.0
72,4,19,4,9,5,-1.0
73,19,4,9,5,6,-1.0
74,4,9,5,6,0,-1.0
75,9,5,6,0,14,-1.0
76,5,6,0,14,12,-1.0
77,6,0,14,12,18,0.0
78,0,14,12,18,16,-1.0
79,14,12,18,16,19,0.0
80,12,18,16,19,19,0.0
81,18,16,19,19,0,-1.0
82,16,19,19,0,0,-1.0
83,19,19,0,0,0,0.0
84,19,0,0,0,11,0.0
85,0,0,0,11,16,-1.0
86,0,0,11,16,0,-1.0
87,0,11,16,0,13,0.0
88,11,16,0,13,0,0.0
89,16,0,13,0,4,-1.0
90,0,13,0,4,5,-1.0
91,13,0,4,5,0,0.0
92,0,4,5,0,4,-1.0
93,4,5,0,4,18,1.0
94,5,0,4,18,3,1.0
95,0,4,18,3,14,1.0
96,4,18,3,14,0,-1.0
97,18,3,14,0,8,1.0
98,3,14,0,8,6,-1.0
99,14,0,8,6,0,-1.0
100,0,8,6,0,3,1.0
101,8,6,0,3,5,-1.0
102,6,0,3,5,8,1.0
103,0,3,5,8,0,-1.0
104,3,5,8,0,4,-1.0
105,5,8,0,4,1,0.0
106,8,0,4,1,1,0.0
107,0,4,1,1,1,0.0
108,4,1,1,1,0,-1.0
109,1,1,1,0,1,0.0
110,1,1,0,1,0,-1.0
111,1,0,1,0,0,-1.0
112,0,1,0,0,0,0.0
113,1,0,0,0,1,0.0
114,0,0,0,1,9,1.0
115,0,0,1,9,6,-1.0
116,0,1,9,6,9,1.0
117,1,9,6,9,19,0.0
118,9,6,9,19,18,0.0
119,6,9,19,18,0,-1.0
120,9,19,18,0,5,-1.0
121,19,18,0,5,3,1.0
122,18,0,5,3,1,-1.0
123,0,5,3,1,15,1.0
124,5,3,1,15,10,1.0
125,3,1,15,10,17,-1.0
126,1,15,10,17,10,-1.0
127,15,10,17,10,16,-1.0
128,10,17,10,16,19,1.0
129,17,10,16,19,16,0.0
130,10,16,19,16,13,-1.0
131,16,19,16,13,0,0.0
132,19,16,13,0,0,-1.0
133,16,13,0,0,0,0.0
134,13,0,0,0,19,0.0
135,0,0,0,19,2,1.0
136,0,0,19,2,12,-1.0
137,0,19,2,12,9,1.0
138,19,2,12,9,19,0.0
139,2,12,9,19,19,0.0
140,12,9,19,19,9,1.0
141,9,19,19,9,19,0.0
142,19,19,9,19,3,-1.0
143,19,9,19,3,9,1.0
144,9,19,3,9,19,-1.0
145,19,3,9,19,19,-1.0
146,3,9,19,19,8,1.0
147,9,19,19,8,19,-1.0
148,19,19,8,19,19,0.0
149,19,8,19,19,16,-1.0
150,8,19,19,16,16,0.0
151,19,19,16,16,19,1.0
152,19,16,16,19,16,1.0
153,16,16,19,16,18,-1.0
154,16,19,16,18,19,-1.0
155,19,16,18,19,5,-1.0
156,16,18,19,5,9,1.0
157,18,19,5,9,0,-1.0
158,19,5,9,0,4,-1.0
159,5,9,0,4,19,0.0
160,9,0,4,19,2,-1.0
161,0,4,19,2,12,-1.0
162,4,19,2,12,19,1.0
163,19,2,12,19,19,0.0
164,2,12,19,19,8,1.0
165,12,19,19,8,11,-1.0
166,19,19,8,11,15,1.0
167,19,8,11,15,9,1.0
168,8,11,15,9,19,0.0
169,11,15,9,19,13,-1.0
170,15,9,19,13,11,-1.0
171,9,19,13,11,19,-1.0
172,19,13,11,19,19,1.0
173,13,11,19,19,19,-1.0
174,11,19,19,19,19,0.0
175,19,19,19,19,19,0.0
176,19,19,19,19,19,0.0
177,19,19,19,19,19,0.0
178,19,19,19,19,19,0.0
179,19,19,19,19,19,0.0
180,19,19,19,19,19,0.0
181,19,19,19,19,19,0.0
182,19,19,19,19,19,0.0
183,19,19,19,19,19,0.0
184,19,19,19,19,17,-1.0
185,19,19,19,17,19,0.0
186,19,19,17,19,19,-1.0
187,19,17,19,19,9,1.0
188,17,19,19,9,0,-1.0
189,19,19,9,0,8,0.0
190,19,9,0,8,6,1.0
191,9,0,8,6,19,0.0
192,0,8,6,19,2,0.0
193,8,6,19,2,10,1.0
194,6,19,2,10,13,0.0
195,19,2,10,13,3,1.0
196,2,10,13,3,14,1.0
197,10,13,3,14,14,1.0
198,13,3,14,14,4,-1.0
199,3,14,14,4,15,1.0
200,14,14,4,15,13,0.0
