,s-3,s-2,s-1,a,r
0,1,8,18,19,0
1,8,18,19,11,0
2,18,19,11,0,-1
3,19,11,0,19,-1
4,11,0,19,6,-1
5,0,19,6,19,0
6,19,6,19,19,0
7,6,19,19,7,-1
8,19,19,7,19,0
9,19,7,19,12,-1
10,7,19,12,4,-1
11,19,12,4,18,0
12,12,4,18,19,0
13,4,18,19,19,1
14,18,19,19,19,0
15,19,19,19,19,0
16,19,19,19,19,0
17,19,19,19,19,0
18,19,19,19,19,-1
19,19,19,19,19,0
20,19,19,19,19,0
21,19,19,19,2,0
22,19,19,2,15,1
23,19,2,15,14,1
24,2,15,14,19,0
25,15,14,19,9,-1
26,14,19,9,19,1
27,19,9,19,19,-1
28,9,19,19,19,-1
29,19,19,19,19,0
30,19,19,19,18,0
31,19,19,18,18,0
32,19,18,18,18,-1
33,18,18,18,16,-1
34,18,18,16,6,-1
35,18,16,6,3,1
36,16,6,3,2,1
37,6,3,2,2,0
38,3,2,2,4,-1
39,2,2,4,11,-1
40,2,4,11,19,0
41,4,11,19,3,1
42,11,19,3,7,0
43,19,3,7,2,1
44,3,7,2,1,0
45,7,2,1,0,-1
46,2,1,0,0,0
47,1,0,0,0,-1
48,0,0,0,1,0
49,0,0,1,2,1
50,0,1,2,3,1
51,1,2,3,7,0
52,2,3,7,5,-1
53,3,7,5,19,0
54,7,5,19,0,1
55,5,19,0,0,1
56,19,0,0,5,-1
57,0,0,5,17,-1
58,0,5,17,0,-1
59,5,17,0,6,-1
60,17,0,6,3,1
61,0,6,3,9,1
62,6,3,9,0,0
63,3,9,0,7,-1
64,9,0,7,14,1
65,0,7,14,19,0
66,7,14,19,0,-1
67,14,19,0,0,-1
68,19,0,0,3,0
69,0,0,3,2,1
70,0,3,2,1,0
71,3,2,1,0,-1
72,2,1,0,0,0
73,1,0,0,1,0
74,0,0,1,1,-1
75,0,1,1,9,-1
76,1,1,9,16,1
77,1,9,16,0,0
78,9,16,0,3,1
79,16,0,3,19,0
80,0,3,19,19,0
81,3,19,19,19,0
82,19,19,19,0,1
83,19,19,0,0,-1
84,19,0,0,0,0
85,0,0,0,9,1
86,0,0,9,5,-1
87,0,9,5,19,1
88,9,5,19,0,-1
89,5,19,0,5,-1
90,19,0,5,3,1
91,0,5,3,12,0
92,5,3,12,19,0
93,3,12,19,19,0
94,12,19,19,0,1
95,19,19,0,3,-1
96,19,0,3,3,-1
97,0,3,3,4,-1
98,3,3,4,11,-1
99,3,4,11,19,1
100,4,11,19,0,-1
101,11,19,0,4,-1
102,19,0,4,11,-1
103,0,4,11,9,1
104,4,11,9,19,0
105,11,9,19,0,-1
106,9,19,0,7,0
107,19,0,7,17,-1
108,0,7,17,19,0
109,7,17,19,0,0
110,17,19,0,7,-1
111,19,0,7,1,-1
112,0,7,1,8,1
113,7,1,8,17,-1
114,1,8,17,19,0
115,8,17,19,0,0
116,17,19,0,7,0
117,19,0,7,10,-1
118,0,7,10,19,0
119,7,10,19,6,-1
120,10,19,6,2,1
121,19,6,2,2,1
122,6,2,2,1,0
123,2,2,1,19,0
124,2,1,19,19,0
125,1,19,19,19,0
126,19,19,19,0,-1
127,19,19,0,12,-1
128,19,0,12,5,-1
129,0,12,5,19,1
130,12,5,19,5,-1
131,5,19,5,1,0
132,19,5,1,19,0
133,5,1,19,11,-1
134,1,19,11,19,0
135,19,11,19,0,0
136,11,19,0,9,1
137,19,0,9,0,-1
138,0,9,0,14,1
139,9,0,14,3,1
140,0,14,3,19,1
141,14,3,19,7,0
142,3,19,7,19,0
143,19,7,19,0,-1
144,7,19,0,3,1
145,19,0,3,0,-1
146,0,3,0,12,1
147,3,0,12,19,0
148,0,12,19,19,0
149,12,19,19,0,-1
150,19,19,0,0,0
151,19,0,0,0,0
152,0,0,0,19,-1
153,0,0,19,8,-1
154,0,19,8,19,0
155,19,8,19,18,1
156,8,19,18,5,-1
157,19,18,5,1,0
158,18,5,1,0,-1
159,5,1,0,7,0
160,1,0,7,16,-1
161,0,7,16,19,-1
162,7,16,19,4,-1
163,16,19,4,11,-1
164,19,4,11,0,-1
165,4,11,0,18,0
166,11,0,18,13,0
167,0,18,13,19,0
168,18,13,19,0,-1
169,13,19,0,9,-1
170,19,0,9,15,-1
171,0,9,15,19,1
172,9,15,19,0,-1
173,15,19,0,0,-1
174,19,0,0,0,0
175,0,0,0,3,1
176,0,0,3,2,1
177,0,3,2,13,0
178,3,2,13,15,1
179,2,13,15,15,1
180,13,15,15,15,1
181,15,15,15,8,0
