,s-2,s-1,a,r,none
0,3,0,4,-1,
1,0,4,3,1,
2,4,3,0,-1,
3,3,0,5,-1,
4,0,5,0,1,
5,5,0,1,0,
6,0,1,4,-1,
7,1,4,4,0,
8,4,4,5,-1,
9,4,5,1,0,
10,5,1,3,0,
11,1,3,1,0,
12,3,1,3,1,
13,1,3,0,-1,
14,3,0,1,-1,
15,0,1,3,1,
16,1,3,1,0,
17,3,1,0,-1,
18,1,0,3,1,
19,0,3,3,1,
20,3,3,5,-1,
21,3,5,5,0,
22,5,5,2,1,
23,5,2,4,1,
24,2,4,5,-1,
25,4,5,4,-1,
26,5,4,4,-1,
27,4,4,5,-1,
28,4,5,1,0,
29,5,1,4,0,
30,1,4,1,1,
31,4,1,5,0,
32,1,5,5,1,
33,5,5,0,-1,
34,5,0,2,1,
35,0,2,0,-1,
36,2,0,1,-1,
37,0,1,5,-1,
38,1,5,4,-1,
39,5,4,3,1,
40,4,3,2,0,
41,3,2,0,1,
42,2,0,3,1,
43,0,3,1,0,
44,3,1,1,0,
45,1,1,2,1,
46,1,2,1,1,
47,2,1,4,-1,
48,1,4,1,-1,
49,4,1,2,1,
50,1,2,0,0,
51,2,0,4,1,
52,0,4,5,-1,
53,4,5,1,-1,
54,5,1,2,1,
55,1,2,1,0,
56,2,1,4,-1,
57,1,4,4,-1,
58,4,4,2,1,
59,4,2,2,0,
60,2,2,4,-1,
61,2,4,0,-1,
62,4,0,3,1,
63,0,3,0,-1,
64,3,0,2,0,
65,0,2,3,1,
66,2,3,3,-1,
67,3,3,2,1,
68,3,2,0,-1,
69,2,0,3,-1,
70,0,3,1,0,
71,3,1,1,0,
72,1,1,2,1,
73,1,2,1,0,
74,2,1,0,1,
75,1,0,2,1,
76,0,2,4,-1,
77,2,4,0,-1,
78,4,0,3,1,
79,0,3,2,-1,
80,3,2,1,0,
81,2,1,2,0,
82,1,2,1,1,
83,2,1,2,1,
84,1,2,2,1,
85,2,2,2,1,
86,2,2,5,-1,
87,2,5,2,1,
88,5,2,2,1,
89,2,2,5,-1,
90,2,5,3,1,
91,5,3,1,0,
92,3,1,4,-1,
93,1,4,1,0,
94,4,1,5,-1,
95,1,5,5,-1,
96,5,5,5,-1,
97,5,5,3,1,
98,5,3,3,1,
99,3,3,5,-1,
100,3,5,3,1,
101,5,3,1,0,
102,3,1,2,0,
103,1,2,2,-1,
104,2,2,5,-1,
105,2,5,3,-1,
106,5,3,4,-1,
107,3,4,1,0,
108,4,1,3,1,
109,1,3,1,-1,
110,3,1,5,-1,
111,1,5,3,-1,
112,5,3,2,1,
113,3,2,0,-1,
114,2,0,4,1,
115,0,4,0,0,
116,4,0,2,1,
117,0,2,2,0,
118,2,2,1,-1,
119,2,1,1,-1,
120,1,1,2,1,
