,s-3,s-2,s-1,a,r
0,6,9,5,6,-1
1,9,5,6,2,1
2,5,6,2,2,0
3,6,2,2,3,1
4,2,2,3,0,-1
5,2,3,0,7,1
6,3,0,7,3,1
7,0,7,3,9,0
8,7,3,9,8,1
9,3,9,8,0,-1
10,9,8,0,7,-1
11,8,0,7,0,-1
12,0,7,0,3,1
13,7,0,3,8,0
14,0,3,8,9,-1
15,3,8,9,8,1
16,8,9,8,8,0
17,9,8,8,3,1
18,8,8,3,2,-1
19,8,3,2,2,1
20,3,2,2,0,1
21,2,2,0,0,-1
22,2,0,0,8,1
23,0,0,8,7,0
24,0,8,7,7,0
25,8,7,7,6,-1
26,7,7,6,9,1
27,7,6,9,2,0
28,6,9,2,8,1
29,9,2,8,5,-1
30,2,8,5,1,0
31,8,5,1,8,1
32,5,1,8,2,1
33,1,8,2,7,0
34,8,2,7,2,1
35,2,7,2,8,1
36,7,2,8,8,1
37,2,8,8,4,-1
38,8,8,4,9,1
39,8,4,9,5,0
40,4,9,5,8,1
41,9,5,8,4,1
42,5,8,4,6,-1
43,8,4,6,2,1
44,4,6,2,6,-1
45,6,2,6,7,-1
46,2,6,7,8,1
47,6,7,8,9,1
48,7,8,9,1,0
49,8,9,1,0,0
50,9,1,0,2,-1
51,1,0,2,5,-1
52,0,2,5,2,1
53,2,5,2,5,-1
54,5,2,5,4,1
55,2,5,4,5,-1
56,5,4,5,2,-1
57,4,5,2,4,-1
58,5,2,4,2,0
59,2,4,2,5,-1
60,4,2,5,7,-1
61,2,5,7,8,0
62,5,7,8,2,1
63,7,8,2,3,0
64,8,2,3,4,1
65,2,3,4,4,1
66,3,4,4,5,-1
67,4,4,5,6,0
68,4,5,6,1,0
69,5,6,1,5,1
70,6,1,5,6,-1
71,1,5,6,3,1
72,5,6,3,9,1
73,6,3,9,4,-1
74,3,9,4,5,-1
75,9,4,5,8,0
76,4,5,8,9,1
77,5,8,9,9,1
78,8,9,9,9,0
79,9,9,9,2,1
80,9,9,2,6,-1
81,9,2,6,6,-1
82,2,6,6,3,1
83,6,6,3,3,1
84,6,3,3,7,0
85,3,3,7,6,-1
86,3,7,6,1,0
87,7,6,1,3,-1
88,6,1,3,4,-1
89,1,3,4,3,-1
90,3,4,3,7,0
91,4,3,7,0,-1
92,3,7,0,8,-1
93,7,0,8,9,1
94,0,8,9,8,1
95,8,9,8,0,0
96,9,8,0,1,0
97,8,0,1,2,1
98,0,1,2,3,1
99,1,2,3,3,-1
100,2,3,3,2,1
101,3,3,2,4,-1
102,3,2,4,6,-1
103,2,4,6,8,1
104,4,6,8,8,1
105,6,8,8,2,-1
106,8,8,2,1,0
107,8,2,1,4,1
108,2,1,4,0,-1
109,1,4,0,0,-1
110,4,0,0,2,1
111,0,0,2,2,1
112,0,2,2,8,1
113,2,2,8,1,0
114,2,8,1,3,-1
115,8,1,3,1,0
116,1,3,1,5,1
117,3,1,5,3,-1
118,1,5,3,2,1
119,5,3,2,7,0
120,3,2,7,9,1
121,2,7,9,9,1
122,7,9,9,9,1
123,9,9,9,3,0
124,9,9,3,1,0
125,9,3,1,3,-1
126,3,1,3,3,-1
127,1,3,3,1,0
128,3,3,1,9,1
129,3,1,9,3,1
130,1,9,3,2,1
131,9,3,2,9,-1
132,3,2,9,9,-1
133,2,9,9,7,0
134,9,9,7,4,-1
135,9,7,4,6,1
136,7,4,6,3,1
137,4,6,3,1,0
138,6,3,1,9,1
139,3,1,9,1,0
140,1,9,1,8,1
141,9,1,8,3,1
142,1,8,3,2,1
143,8,3,2,5,-1
144,3,2,5,6,-1
145,2,5,6,7,0
146,5,6,7,9,-1
147,6,7,9,9,1
148,7,9,9,0,-1
149,9,9,0,2,1
150,9,0,2,9,0
151,0,2,9,2,0
152,2,9,2,0,-1
153,9,2,0,3,1
154,2,0,3,5,-1
155,0,3,5,4,0
156,3,5,4,7,-1
157,5,4,7,6,-1
158,4,7,6,8,0
159,7,6,8,3,-1
160,6,8,3,9,1
161,8,3,9,2,1
162,3,9,2,2,1
163,9,2,2,5,-1
164,2,2,5,2,0
165,2,5,2,6,-1
166,5,2,6,4,-1
167,2,6,4,6,-1
168,6,4,6,7,0
169,4,6,7,3,1
170,6,7,3,4,-1
171,7,3,4,3,1
172,3,4,3,2,1
173,4,3,2,9,1
174,3,2,9,4,1
175,2,9,4,1,0
176,9,4,1,3,0
177,4,1,3,1,0
178,1,3,1,9,-1
179,3,1,9,7,0
180,1,9,7,9,0
181,9,7,9,0,-1
182,7,9,0,5,-1
183,9,0,5,4,-1
184,0,5,4,3,-1
185,5,4,3,1,0
186,4,3,1,6,0
187,3,1,6,0,-1
188,1,6,0,0,0
189,6,0,0,8,1
190,0,0,8,4,-1
191,0,8,4,8,1
192,8,4,8,0,0
193,4,8,0,1,-1
194,8,0,1,9,-1
195,0,1,9,5,-1
196,1,9,5,8,0
197,9,5,8,6,-1
198,5,8,6,0,-1
199,8,6,0,8,1
200,6,0,8,1,1
201,0,8,1,5,-1
202,8,1,5,2,1
203,1,5,2,7,0
204,5,2,7,4,-1
205,2,7,4,8,1
206,7,4,8,1,-1
207,4,8,1,1,0
208,8,1,1,4,-1
209,1,1,4,3,1
210,1,4,3,1,0
211,4,3,1,8,0
212,3,1,8,7,-1
213,1,8,7,1,0
214,8,7,1,7,-1
215,7,1,7,0,-1
216,1,7,0,1,0
217,7,0,1,4,-1
218,0,1,4,7,0
219,1,4,7,5,-1
220,4,7,5,2,1
221,7,5,2,3,1
222,5,2,3,1,0
223,2,3,1,6,-1
224,3,1,6,2,1
225,1,6,2,1,0
226,6,2,1,0,1
227,2,1,0,1,0
228,1,0,1,8,1
229,0,1,8,8,1
230,1,8,8,2,1
231,8,8,2,4,-1
232,8,2,4,4,-1
233,2,4,4,5,-1
234,4,4,5,2,0
235,4,5,2,1,0
236,5,2,1,0,0
237,2,1,0,8,1
238,1,0,8,2,0
239,0,8,2,1,0
240,8,2,1,0,0
241,2,1,0,1,0
242,1,0,1,3,1
243,0,1,3,9,-1
244,1,3,9,2,0
245,3,9,2,5,-1
246,9,2,5,5,-1
247,2,5,5,7,0
248,5,5,7,3,1
249,5,7,3,1,-1
250,7,3,1,2,-1
251,3,1,2,2,-1
252,1,2,2,7,0
253,2,2,7,1,0
254,2,7,1,4,-1
255,7,1,4,6,-1
256,1,4,6,4,-1
257,4,6,4,9,1
258,6,4,9,5,-1
259,4,9,5,6,1
260,9,5,6,0,-1
261,5,6,0,7,0
262,6,0,7,7,1
263,0,7,7,6,-1
264,7,7,6,7,0
265,7,6,7,6,-1
266,6,7,6,5,-1
267,7,6,5,7,0
268,6,5,7,8,1
269,5,7,8,4,1
270,7,8,4,9,1
271,8,4,9,1,0
272,4,9,1,2,0
273,9,1,2,1,0
274,1,2,1,4,-1
275,2,1,4,5,-1
276,1,4,5,2,1
277,4,5,2,8,1
278,5,2,8,2,1
279,2,8,2,0,-1
280,8,2,0,0,-1
281,2,0,0,8,1
282,0,0,8,1,1
283,0,8,1,5,-1
284,8,1,5,9,1
285,1,5,9,3,1
286,5,9,3,1,-1
287,9,3,1,2,0
288,3,1,2,6,-1
289,1,2,6,3,-1
290,2,6,3,3,-1
291,6,3,3,2,1
292,3,3,2,6,-1
293,3,2,6,8,1
294,2,6,8,7,0
295,6,8,7,3,1
296,8,7,3,7,0
297,7,3,7,1,0
298,3,7,1,4,1
299,7,1,4,1,0
300,1,4,1,9,-1
301,4,1,9,4,-1
302,1,9,4,0,1
303,9,4,0,5,-1
304,4,0,5,4,-1
305,0,5,4,6,-1
306,5,4,6,4,-1
307,4,6,4,2,1
308,6,4,2,5,-1
309,4,2,5,9,1
310,2,5,9,1,0
311,5,9,1,7,0
312,9,1,7,8,1
313,1,7,8,8,1
314,7,8,8,3,0
315,8,8,3,2,1
316,8,3,2,3,-1
317,3,2,3,2,1
318,2,3,2,1,0
319,3,2,1,7,-1
320,2,1,7,6,-1
321,1,7,6,2,1
322,7,6,2,5,-1
323,6,2,5,3,-1
324,2,5,3,3,-1
325,5,3,3,4,-1
326,3,3,4,9,1
327,3,4,9,5,-1
328,4,9,5,1,0
329,9,5,1,1,-1
330,5,1,1,1,0
331,1,1,1,2,1
332,1,1,2,1,1
333,1,2,1,3,-1
334,2,1,3,3,1
335,1,3,3,4,-1
336,3,3,4,1,0
337,3,4,1,4,-1
338,4,1,4,2,1
339,1,4,2,1,0
340,4,2,1,6,1
341,2,1,6,9,1
342,1,6,9,8,-1
343,6,9,8,2,-1
344,9,8,2,2,1
345,8,2,2,9,1
346,2,2,9,5,-1
347,2,9,5,7,-1
348,9,5,7,6,-1
349,5,7,6,9,0
350,7,6,9,1,0
351,6,9,1,4,1
352,9,1,4,5,-1
353,1,4,5,6,1
354,4,5,6,3,0
355,5,6,3,7,0
356,6,3,7,2,1
357,3,7,2,1,0
358,7,2,1,0,-1
359,2,1,0,8,1
360,1,0,8,2,1
361,0,8,2,5,-1
362,8,2,5,4,-1
363,2,5,4,2,1
364,5,4,2,5,-1
365,4,2,5,1,0
366,2,5,1,2,1
367,5,1,2,0,-1
368,1,2,0,9,-1
369,2,0,9,5,-1
370,0,9,5,7,-1
371,9,5,7,9,0
372,5,7,9,3,1
373,7,9,3,0,-1
374,9,3,0,6,-1
375,3,0,6,1,1
376,0,6,1,0,-1
377,6,1,0,2,1
378,1,0,2,1,1
379,0,2,1,5,-1
380,2,1,5,1,0
381,1,5,1,1,0
382,5,1,1,0,-1
383,1,1,0,3,-1
384,1,0,3,5,-1
385,0,3,5,2,1
386,3,5,2,2,-1
387,5,2,2,7,-1
388,2,2,7,0,-1
389,2,7,0,6,-1
390,7,0,6,8,1
391,0,6,8,3,1
392,6,8,3,0,-1
393,8,3,0,0,-1
394,3,0,0,9,1
395,0,0,9,6,-1
396,0,9,6,7,1
397,9,6,7,2,1
398,6,7,2,3,-1
399,7,2,3,4,-1
400,2,3,4,4,-1
401,3,4,4,9,-1
402,4,4,9,8,1
403,4,9,8,8,1
404,9,8,8,5,-1
405,8,8,5,8,0
406,8,5,8,4,-1
407,5,8,4,9,1
408,8,4,9,6,-1
409,4,9,6,7,-1
410,9,6,7,4,-1
411,6,7,4,9,1
412,7,4,9,8,1
413,4,9,8,9,0
414,9,8,9,9,0
415,8,9,9,5,-1
416,9,9,5,1,0
417,9,5,1,8,1
418,5,1,8,6,1
419,1,8,6,7,1
420,8,6,7,2,-1
421,6,7,2,8,1
422,7,2,8,8,1
423,2,8,8,9,0
424,8,8,9,8,1
425,8,9,8,9,1
426,9,8,9,2,0
427,8,9,2,4,-1
428,9,2,4,7,0
429,2,4,7,9,1
430,4,7,9,3,1
431,7,9,3,4,-1
432,9,3,4,1,0
433,3,4,1,7,0
434,4,1,7,5,0
435,1,7,5,0,1
436,7,5,0,7,0
437,5,0,7,9,1
438,0,7,9,1,0
439,7,9,1,5,-1
440,9,1,5,9,1
441,1,5,9,2,1
442,5,9,2,6,-1
443,9,2,6,6,-1
444,2,6,6,7,-1
445,6,6,7,3,-1
446,6,7,3,8,1
447,7,3,8,1,0
448,3,8,1,9,1
449,8,1,9,3,1
450,1,9,3,0,-1
451,9,3,0,3,-1
452,3,0,3,9,1
453,0,3,9,5,-1
454,3,9,5,7,0
455,9,5,7,7,0
456,5,7,7,2,1
457,7,7,2,7,0
458,7,2,7,7,1
459,2,7,7,5,-1
460,7,7,5,0,0
461,7,5,0,8,1
462,5,0,8,2,1
463,0,8,2,0,-1
464,8,2,0,9,1
465,2,0,9,0,-1
466,0,9,0,1,0
467,9,0,1,0,1
468,0,1,0,9,1
469,1,0,9,3,1
470,0,9,3,0,0
471,9,3,0,1,-1
472,3,0,1,3,1
473,0,1,3,2,-1
474,1,3,2,8,1
475,3,2,8,8,0
476,2,8,8,3,-1
477,8,8,3,4,-1
478,8,3,4,8,0
479,3,4,8,7,0
480,4,8,7,5,1
481,8,7,5,2,1
482,7,5,2,0,-1
483,5,2,0,4,-1
484,2,0,4,4,-1
485,0,4,4,1,0
486,4,4,1,5,1
487,4,1,5,1,0
488,1,5,1,2,0
489,5,1,2,6,-1
490,1,2,6,6,-1
491,2,6,6,3,1
492,6,6,3,4,-1
493,6,3,4,9,-1
494,3,4,9,7,-1
495,4,9,7,9,1
496,9,7,9,8,1
497,7,9,8,2,1
498,9,8,2,0,-1
499,8,2,0,6,-1
500,2,0,6,5,-1
501,0,6,5,8,1
502,6,5,8,9,-1
503,5,8,9,6,-1
504,8,9,6,8,1
505,9,6,8,8,0
506,6,8,8,3,1
507,8,8,3,3,-1
508,8,3,3,4,-1
509,3,3,4,0,-1
510,3,4,0,7,0
511,4,0,7,8,1
512,0,7,8,7,0
513,7,8,7,7,0
514,8,7,7,3,1
515,7,7,3,4,1
516,7,3,4,7,0
517,3,4,7,7,-1
518,4,7,7,2,1
519,7,7,2,1,0
520,7,2,1,0,1
521,2,1,0,8,1
522,1,0,8,3,1
523,0,8,3,7,1
524,8,3,7,5,-1
525,3,7,5,5,1
526,7,5,5,8,1
527,5,5,8,9,0
528,5,8,9,3,1
529,8,9,3,1,0
530,9,3,1,8,1
531,3,1,8,6,-1
532,1,8,6,4,-1
533,8,6,4,2,-1
534,6,4,2,2,0
535,4,2,2,3,1
536,2,2,3,1,-1
537,2,3,1,3,1
538,3,1,3,5,-1
539,1,3,5,9,0
540,3,5,9,3,1
541,5,9,3,8,-1
542,9,3,8,9,1
543,3,8,9,2,1
544,8,9,2,5,-1
545,9,2,5,3,0
546,2,5,3,9,1
547,5,3,9,2,1
548,3,9,2,5,-1
549,9,2,5,1,0
550,2,5,1,2,1
551,5,1,2,3,1
552,1,2,3,8,0
553,2,3,8,0,-1
554,3,8,0,9,1
555,8,0,9,1,0
556,0,9,1,1,1
557,9,1,1,9,1
558,1,1,9,6,-1
559,1,9,6,8,1
560,9,6,8,3,1
561,6,8,3,7,0
562,8,3,7,4,-1
563,3,7,4,4,1
564,7,4,4,2,1
565,4,4,2,8,1
566,4,2,8,0,-1
567,2,8,0,8,0
568,8,0,8,5,1
569,0,8,5,3,1
570,8,5,3,2,1
571,5,3,2,4,-1
572,3,2,4,2,1
573,2,4,2,9,1
574,4,2,9,3,1
575,2,9,3,8,1
576,9,3,8,9,1
577,3,8,9,9,1
578,8,9,9,1,-1
579,9,9,1,9,-1
580,9,1,9,3,1
581,1,9,3,6,0
582,9,3,6,3,1
583,3,6,3,7,-1
584,6,3,7,7,0
585,3,7,7,6,-1
586,7,7,6,3,1
587,7,6,3,4,-1
588,6,3,4,8,1
589,3,4,8,3,1
590,4,8,3,8,1
591,8,3,8,7,-1
592,3,8,7,4,-1
593,8,7,4,8,1
594,7,4,8,5,-1
595,4,8,5,6,1
596,8,5,6,7,0
597,5,6,7,5,-1
598,6,7,5,8,1
599,7,5,8,0,-1
600,5,8,0,2,1
601,8,0,2,8,0
602,0,2,8,4,1
603,2,8,4,1,-1
604,8,4,1,7,0
605,4,1,7,8,1
606,1,7,8,7,0
607,7,8,7,9,1
608,8,7,9,8,1
609,7,9,8,7,0
610,9,8,7,2,1
611,8,7,2,9,1
612,7,2,9,9,1
613,2,9,9,9,-1
614,9,9,9,7,0
615,9,9,7,0,-1
616,9,7,0,0,-1
617,7,0,0,2,1
618,0,0,2,5,-1
619,0,2,5,8,1
620,2,5,8,3,1
621,5,8,3,4,1
622,8,3,4,8,1
623,3,4,8,5,-1
624,4,8,5,2,1
625,8,5,2,8,1
626,5,2,8,4,-1
627,2,8,4,2,1
628,8,4,2,8,1
629,4,2,8,1,0
630,2,8,1,9,1
631,8,1,9,1,1
632,1,9,1,8,1
633,9,1,8,1,0
634,1,8,1,0,-1
635,8,1,0,2,1
636,1,0,2,8,1
637,0,2,8,6,0
638,2,8,6,6,-1
639,8,6,6,4,1
640,6,6,4,4,-1
641,6,4,4,0,-1
642,4,4,0,1,-1
643,4,0,1,5,-1
644,0,1,5,5,-1
645,1,5,5,8,1
646,5,5,8,2,1
647,5,8,2,9,1
648,8,2,9,1,0
649,2,9,1,2,0
650,9,1,2,0,0
651,1,2,0,8,0
652,2,0,8,6,-1
653,0,8,6,9,1
654,8,6,9,3,1
655,6,9,3,8,1
656,9,3,8,2,1
657,3,8,2,5,-1
658,8,2,5,7,0
659,2,5,7,4,-1
660,5,7,4,2,1
661,7,4,2,3,1
662,4,2,3,2,1
663,2,3,2,9,-1
664,3,2,9,8,-1
665,2,9,8,8,0
666,9,8,8,1,0
667,8,8,1,8,1
668,8,1,8,1,0
669,1,8,1,8,1
670,8,1,8,7,-1
671,1,8,7,3,1
672,8,7,3,7,0
673,7,3,7,8,1
674,3,7,8,3,1
675,7,8,3,8,1
676,8,3,8,9,1
677,3,8,9,9,1
678,8,9,9,8,1
679,9,9,8,6,-1
680,9,8,6,7,-1
681,8,6,7,9,1
682,6,7,9,1,-1
683,7,9,1,8,1
684,9,1,8,1,0
685,1,8,1,3,0
686,8,1,3,2,1
687,1,3,2,9,1
688,3,2,9,8,1
689,2,9,8,2,1
690,9,8,2,2,0
691,8,2,2,2,1
692,2,2,2,9,1
693,2,2,9,6,-1
694,2,9,6,3,1
695,9,6,3,1,0
696,6,3,1,8,0
697,3,1,8,9,1
698,1,8,9,2,1
699,8,9,2,2,0
700,9,2,2,2,-1
701,2,2,2,9,-1
702,2,2,9,4,-1
703,2,9,4,5,-1
704,9,4,5,7,0
705,4,5,7,1,0
706,5,7,1,7,1
707,7,1,7,8,0
708,1,7,8,2,1
709,7,8,2,2,1
710,8,2,2,9,1
711,2,2,9,4,1
712,2,9,4,9,1
713,9,4,9,2,1
714,4,9,2,7,-1
715,9,2,7,8,-1
716,2,7,8,4,1
717,7,8,4,9,-1
718,8,4,9,4,-1
719,4,9,4,3,-1
720,9,4,3,0,-1
721,4,3,0,8,1
722,3,0,8,8,1
723,0,8,8,8,-1
724,8,8,8,3,1
725,8,8,3,3,0
726,8,3,3,2,1
727,3,3,2,6,-1
728,3,2,6,4,-1
729,2,6,4,2,1
730,6,4,2,0,0
731,4,2,0,6,-1
732,2,0,6,4,-1
733,0,6,4,9,1
734,6,4,9,3,0
735,4,9,3,7,0
736,9,3,7,3,-1
737,3,7,3,0,1
738,7,3,0,8,1
739,3,0,8,1,0
740,0,8,1,6,-1
741,8,1,6,2,1
742,1,6,2,7,0
743,6,2,7,8,1
744,2,7,8,2,1
745,7,8,2,3,-1
746,8,2,3,2,0
747,2,3,2,6,-1
748,3,2,6,1,0
749,2,6,1,6,-1
750,6,1,6,2,0
751,1,6,2,9,-1
752,6,2,9,8,-1
753,2,9,8,7,-1
754,9,8,7,9,-1
755,8,7,9,6,0
756,7,9,6,3,1
757,9,6,3,7,1
758,6,3,7,5,1
759,3,7,5,3,1
760,7,5,3,7,0
761,5,3,7,9,1
762,3,7,9,8,1
763,7,9,8,8,1
764,9,8,8,7,0
765,8,8,7,9,1
766,8,7,9,7,0
767,7,9,7,6,1
768,9,7,6,8,-1
769,7,6,8,2,1
770,6,8,2,2,0
771,8,2,2,3,-1
772,2,2,3,8,1
773,2,3,8,6,1
774,3,8,6,9,1
775,8,6,9,4,-1
776,6,9,4,3,-1
777,9,4,3,3,1
778,4,3,3,9,1
779,3,3,9,6,-1
780,3,9,6,1,1
781,9,6,1,3,-1
782,6,1,3,5,-1
783,1,3,5,9,1
784,3,5,9,3,1
785,5,9,3,8,1
786,9,3,8,1,-1
787,3,8,1,4,-1
788,8,1,4,4,-1
789,1,4,4,8,1
790,4,4,8,7,0
791,4,8,7,7,-1
792,8,7,7,0,-1
793,7,7,0,8,1
794,7,0,8,2,-1
795,0,8,2,8,1
796,8,2,8,6,0
797,2,8,6,9,1
798,8,6,9,5,-1
799,6,9,5,8,-1
800,9,5,8,0,-1
801,5,8,0,3,1
802,8,0,3,9,1
803,0,3,9,2,1
804,3,9,2,2,1
805,9,2,2,9,-1
806,2,2,9,7,0
807,2,9,7,2,1
808,9,7,2,1,1
809,7,2,1,6,-1
810,2,1,6,2,-1
811,1,6,2,1,0
812,6,2,1,6,-1
813,2,1,6,9,1
814,1,6,9,9,-1
815,6,9,9,0,-1
816,9,9,0,9,-1
817,9,0,9,2,1
818,0,9,2,9,1
819,9,2,9,0,-1
820,2,9,0,7,0
821,9,0,7,9,1
822,0,7,9,0,-1
823,7,9,0,2,1
824,9,0,2,6,0
825,0,2,6,1,0
826,2,6,1,9,1
827,6,1,9,6,1
828,1,9,6,1,-1
829,9,6,1,8,1
830,6,1,8,4,-1
831,1,8,4,6,-1
832,8,4,6,9,0
833,4,6,9,2,-1
834,6,9,2,2,1
835,9,2,2,4,-1
836,2,2,4,1,0
837,2,4,1,6,0
838,4,1,6,2,1
839,1,6,2,8,0
840,6,2,8,8,0
841,2,8,8,1,0
842,8,8,1,1,0
843,8,1,1,1,1
844,1,1,1,8,1
845,1,1,8,1,-1
846,1,8,1,4,-1
847,8,1,4,9,-1
848,1,4,9,7,0
849,4,9,7,6,-1
850,9,7,6,3,0
851,7,6,3,0,-1
852,6,3,0,9,1
853,3,0,9,1,0
854,0,9,1,2,1
855,9,1,2,9,1
856,1,2,9,1,0
857,2,9,1,7,1
858,9,1,7,2,1
859,1,7,2,8,1
860,7,2,8,7,1
861,2,8,7,5,-1
862,8,7,5,2,-1
863,7,5,2,8,1
864,5,2,8,0,-1
865,2,8,0,9,-1
866,8,0,9,8,1
867,0,9,8,5,-1
868,9,8,5,2,0
869,8,5,2,1,-1
870,5,2,1,1,0
871,2,1,1,9,1
872,1,1,9,3,0
873,1,9,3,0,0
874,9,3,0,8,1
875,3,0,8,7,0
876,0,8,7,4,0
877,8,7,4,7,0
878,7,4,7,2,1
879,4,7,2,9,1
880,7,2,9,5,0
881,2,9,5,2,0
882,9,5,2,9,1
883,5,2,9,9,1
884,2,9,9,6,-1
885,9,9,6,7,0
886,9,6,7,6,1
887,6,7,6,3,1
888,7,6,3,6,-1
889,6,3,6,3,1
890,3,6,3,7,0
891,6,3,7,7,0
892,3,7,7,7,-1
893,7,7,7,8,1
894,7,7,8,2,1
895,7,8,2,3,0
896,8,2,3,8,1
897,2,3,8,2,1
898,3,8,2,8,1
899,8,2,8,1,1
900,2,8,1,4,-1
901,8,1,4,4,-1
902,1,4,4,9,1
903,4,4,9,5,-1
904,4,9,5,6,-1
905,9,5,6,1,1
906,5,6,1,1,0
907,6,1,1,7,0
908,1,1,7,2,0
909,1,7,2,0,1
910,7,2,0,8,1
911,2,0,8,3,1
912,0,8,3,3,1
913,8,3,3,5,-1
914,3,3,5,6,-1
915,3,5,6,6,-1
916,5,6,6,0,-1
917,6,6,0,5,0
918,6,0,5,2,0
919,0,5,2,7,0
920,5,2,7,0,0
921,2,7,0,0,-1
922,7,0,0,0,-1
923,0,0,0,1,0
924,0,0,1,8,1
925,0,1,8,3,1
926,1,8,3,7,0
927,8,3,7,1,-1
928,3,7,1,7,-1
929,7,1,7,8,-1
930,1,7,8,8,0
931,7,8,8,7,-1
932,8,8,7,8,1
933,8,7,8,9,-1
934,7,8,9,4,-1
935,8,9,4,9,1
936,9,4,9,4,1
937,4,9,4,3,1
938,9,4,3,2,1
939,4,3,2,3,1
940,3,2,3,8,-1
941,2,3,8,3,1
942,3,8,3,2,-1
943,8,3,2,9,1
944,3,2,9,8,1
945,2,9,8,8,0
946,9,8,8,4,-1
947,8,8,4,0,0
948,8,4,0,2,1
949,4,0,2,0,0
950,0,2,0,1,0
951,2,0,1,9,-1
952,0,1,9,8,1
953,1,9,8,1,1
954,9,8,1,9,1
955,8,1,9,3,1
956,1,9,3,1,0
957,9,3,1,1,0
958,3,1,1,2,1
959,1,1,2,3,-1
960,1,2,3,6,0
961,2,3,6,9,-1
962,3,6,9,8,1
963,6,9,8,3,1
964,9,8,3,1,0
965,8,3,1,9,1
966,3,1,9,1,0
967,1,9,1,8,1
968,9,1,8,3,1
969,1,8,3,6,-1
970,8,3,6,4,1
971,3,6,4,2,1
972,6,4,2,7,0
973,4,2,7,3,-1
974,2,7,3,4,-1
975,7,3,4,6,-1
976,3,4,6,4,-1
977,4,6,4,0,0
978,6,4,0,2,1
979,4,0,2,2,1
980,0,2,2,7,0
981,2,2,7,4,-1
982,2,7,4,8,-1
983,7,4,8,4,-1
984,4,8,4,7,0
985,8,4,7,9,1
986,4,7,9,0,-1
987,7,9,0,8,1
988,9,0,8,7,0
989,0,8,7,7,0
990,8,7,7,3,1
991,7,7,3,9,1
992,7,3,9,7,-1
993,3,9,7,4,-1
994,9,7,4,2,1
995,7,4,2,1,1
996,4,2,1,7,0
997,2,1,7,2,0
998,1,7,2,0,-1
