,s-3,s-2,s-1,a,r
0,3,2,9,9,1
1,2,9,9,3,-1
2,9,9,3,4,0
3,9,3,4,8,1
4,3,4,8,5,-1
5,4,8,5,9,0
6,8,5,9,5,-1
7,5,9,5,5,-1
8,9,5,5,7,0
9,5,5,7,0,-1
10,5,7,0,2,1
11,7,0,2,9,1
12,0,2,9,7,-1
13,2,9,7,5,-1
14,9,7,5,5,-1
15,7,5,5,7,0
16,5,5,7,8,1
17,5,7,8,3,1
18,7,8,3,7,0
19,8,3,7,6,-1
20,3,7,6,9,-1
21,7,6,9,7,0
22,6,9,7,2,0
23,9,7,2,2,1
24,7,2,2,0,-1
25,2,2,0,8,1
26,2,0,8,2,1
27,0,8,2,9,1
28,8,2,9,1,1
29,2,9,1,2,0
30,9,1,2,9,-1
31,1,2,9,5,-1
32,2,9,5,6,0
33,9,5,6,5,-1
34,5,6,5,3,1
35,6,5,3,9,1
36,5,3,9,3,1
37,3,9,3,6,-1
38,9,3,6,3,-1
39,3,6,3,1,0
40,6,3,1,5,1
41,3,1,5,4,-1
42,1,5,4,2,1
43,5,4,2,2,1
44,4,2,2,5,-1
45,2,2,5,7,1
46,2,5,7,7,0
47,5,7,7,4,-1
48,7,7,4,3,1
49,7,4,3,1,-1
50,4,3,1,4,1
51,3,1,4,4,-1
52,1,4,4,4,-1
53,4,4,4,0,-1
54,4,4,0,3,1
55,4,0,3,1,0
56,0,3,1,1,-1
57,3,1,1,5,-1
58,1,1,5,3,1
59,1,5,3,0,-1
60,5,3,0,5,-1
61,3,0,5,6,0
62,0,5,6,6,1
63,5,6,6,4,-1
64,6,6,4,3,1
65,6,4,3,4,1
66,4,3,4,6,-1
67,3,4,6,0,-1
68,4,6,0,2,1
69,6,0,2,7,0
70,0,2,7,9,-1
71,2,7,9,1,0
72,7,9,1,3,1
73,9,1,3,8,1
74,1,3,8,7,0
75,3,8,7,1,1
76,8,7,1,4,0
77,7,1,4,5,-1
78,1,4,5,8,1
79,4,5,8,0,-1
80,5,8,0,4,-1
81,8,0,4,9,-1
82,0,4,9,1,0
83,4,9,1,1,0
84,9,1,1,9,1
85,1,1,9,3,1
86,1,9,3,7,0
87,9,3,7,6,-1
88,3,7,6,2,1
89,7,6,2,5,-1
90,6,2,5,7,0
91,2,5,7,4,-1
92,5,7,4,3,-1
93,7,4,3,0,-1
94,4,3,0,2,1
95,3,0,2,9,1
96,0,2,9,2,1
97,2,9,2,6,0
98,9,2,6,7,0
99,2,6,7,3,-1
100,6,7,3,5,-1
101,7,3,5,8,1
102,3,5,8,1,0
103,5,8,1,9,1
104,8,1,9,8,1
105,1,9,8,3,1
106,9,8,3,7,0
107,8,3,7,5,-1
108,3,7,5,7,-1
109,7,5,7,8,1
110,5,7,8,5,-1
111,7,8,5,0,0
112,8,5,0,8,1
113,5,0,8,5,-1
114,0,8,5,1,1
115,8,5,1,7,0
116,5,1,7,9,-1
117,1,7,9,9,1
118,7,9,9,7,-1
119,9,9,7,9,1
120,9,7,9,6,-1
121,7,9,6,3,1
122,9,6,3,5,-1
123,6,3,5,9,1
124,3,5,9,4,-1
125,5,9,4,6,-1
126,9,4,6,3,1
127,4,6,3,9,1
128,6,3,9,6,-1
129,3,9,6,3,-1
130,9,6,3,1,0
131,6,3,1,0,-1
132,3,1,0,5,-1
133,1,0,5,3,1
134,0,5,3,8,0
135,5,3,8,0,0
136,3,8,0,9,1
137,8,0,9,0,0
138,0,9,0,3,1
139,9,0,3,4,-1
140,0,3,4,7,0
