,S1,A,R
0,0,2,0
1,2,1,0
2,1,1,0
3,1,4,1
4,4,3,1
5,3,4,0
6,4,1,-1
7,1,2,0
8,2,1,1
9,1,4,0
10,4,1,-1
11,1,1,-1
12,1,4,1
13,4,4,-1
14,4,4,-1
15,4,1,0
16,1,5,1
17,5,1,0
18,1,1,1
19,1,1,1
20,1,4,-1
21,4,0,1
22,0,0,1
23,0,4,-1
24,4,1,0
25,1,0,1
26,0,2,0
27,2,1,1
28,1,0,1
29,0,2,-1
30,2,5,0
31,5,5,0
32,5,3,1
33,3,1,0
34,1,4,-1
35,4,5,1
36,5,1,0
37,1,2,1
38,2,5,-1
39,5,5,-1
40,5,2,0
41,2,1,0
42,1,4,-1
43,4,5,0
44,5,3,1
45,3,0,0
46,0,2,0
47,2,2,0
48,2,3,1
49,3,2,-1
50,2,4,0
51,4,4,-1
52,4,2,0
53,2,5,-1
54,5,1,0
55,1,2,0
56,2,1,1
57,1,3,1
58,3,1,0
59,1,5,-1
60,5,5,-1
61,5,0,0
62,0,2,0
63,2,3,1
64,3,3,-1
65,3,2,0
66,2,0,0
67,0,1,1
68,1,4,-1
69,4,2,0
70,2,1,1
71,1,5,-1
72,5,5,-1
73,5,0,1
74,0,0,0
75,0,1,1
76,1,1,0
77,1,1,-1
78,1,3,1
79,3,3,-1
80,3,2,0
81,2,2,1
82,2,0,0
83,0,2,0
84,2,3,0
85,3,2,1
86,2,1,0
87,1,3,1
88,3,5,-1
89,5,1,0
90,1,0,1
91,0,5,-1
92,5,2,0
93,2,0,0
94,0,3,1
95,3,5,-1
96,5,3,-1
97,3,5,-1
98,5,1,0
99,1,0,1
100,0,3,-1
101,3,5,0
102,5,1,0
103,1,0,0
104,0,0,1
105,0,1,1
106,1,5,-1
107,5,3,1
108,3,4,-1
109,4,0,1
110,0,0,0
111,0,3,0
112,3,3,-1
113,3,2,0
114,2,5,-1
115,5,2,0
116,2,1,0
117,1,1,0
118,1,4,-1
119,2,3,0
120,3,4,-1
121,4,0,1
122,0,5,-1
123,5,3,0
124,3,4,-1
125,4,2,0
126,2,1,0
127,1,3,1
128,3,2,0
129,2,2,0
130,2,4,-1
131,4,1,0
132,1,5,-1
133,5,1,0
134,1,0,0
135,0,3,1
136,3,0,0
137,0,2,1
138,2,3,-1
139,3,0,0
140,0,2,1
141,2,1,0
142,1,3,-1
143,3,2,0
144,2,1,0
145,1,3,-1
146,3,4,-1
147,4,0,1
148,0,0,1
149,0,5,-1
150,5,4,-1
151,4,3,0
152,3,0,0
153,0,4,-1
154,4,3,-1
155,3,4,-1
156,4,0,1
157,0,2,0
158,2,1,0
159,1,0,0
160,0,0,1
161,0,2,0
162,2,0,1
163,0,2,0
164,2,4,-1
165,4,1,0
166,1,3,-1
167,3,4,-1
168,4,0,0
169,0,3,1
170,3,2,1
171,2,5,0
172,5,2,-1
173,2,5,-1
174,5,2,1
175,2,0,1
176,0,0,1
177,0,4,-1
178,4,2,0
179,2,1,0
180,1,0,0
181,0,1,0
182,1,0,0
183,0,4,-1
184,4,4,-1
185,4,1,0
186,1,0,0
187,0,0,-1
188,0,1,0
189,1,5,-1
190,5,4,-1
191,4,3,1
192,3,0,0
193,0,2,1
194,2,0,1
195,0,0,1
196,0,1,0
197,1,0,1
198,0,1,0
199,1,0,0
200,0,0,0
201,0,2,0
202,2,1,0
203,1,0,0
204,0,3,-1
205,3,5,-1
206,5,4,-1
207,4,4,-1
208,4,3,1
209,3,5,-1
210,5,5,-1
211,5,1,0
212,1,1,0
213,1,1,0
214,1,2,1
215,2,1,0
216,1,3,1
217,3,2,0
218,2,3,-1
219,3,5,-1
220,5,3,1
221,3,0,1
222,0,2,0
223,2,3,-1
224,3,2,1
225,2,2,0
226,2,5,-1
227,5,3,1
228,3,3,-1
229,3,5,-1
230,5,1,0
231,1,3,1
232,3,4,-1
233,4,0,0
234,0,3,0
235,3,2,0
236,2,1,0
237,1,0,0
238,0,0,0
239,0,2,0
240,2,2,0
241,2,5,-1
242,5,5,-1
243,5,3,-1
244,3,0,0
245,0,2,0
246,2,1,1
247,1,3,-1
248,3,2,0
249,2,2,1
250,2,4,-1
251,4,0,0
252,0,0,0
253,0,1,0
254,1,4,-1
255,4,3,1
256,3,1,0
257,1,4,-1
258,4,3,-1
259,3,3,1
260,3,3,1
261,3,3,-1
262,3,4,-1
263,4,0,0
264,0,0,0
265,0,1,0
266,1,0,0
267,0,3,-1
268,3,2,0
269,2,2,0
270,2,3,-1
271,3,2,0
272,2,2,0
273,2,4,-1
274,4,3,1
275,3,2,0
276,2,2,0
277,2,0,0
278,0,3,-1
279,3,2,1
280,2,2,1
281,2,1,0
282,1,2,0
283,2,2,0
284,2,3,1
285,3,2,0
286,2,5,-1
287,5,3,1
288,3,0,1
289,0,0,1
290,0,1,0
291,1,3,-1
292,3,5,-1
293,5,4,-1
294,4,0,0
295,0,5,-1
296,5,5,-1
297,5,3,1
298,3,3,1
299,3,3,-1
300,3,2,0
301,2,4,-1
302,4,3,-1
